序号,性别（0=男）,新冠疫情是否让你焦虑（0=是）,消极or积极or二者之间（0=消极）,新冠疫情让您的家庭收入产生损失（0=是）,新冠疫情使您的报考学校扩大招生（0=是）,新冠疫情使您的备考过程更加困难（0=是）,新冠疫情期间，您是否坚持考研到最后（0=是）,测试集属性条件下坚持考研概率,测试集属性条件下放弃考研概率
401,1,0,1,1,0,1,0,0.0073258643084646614,0.00023095440320122345
402,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
403,0,0,0,1,1,0,1,0.003227985150191193,0.01845869784683062
404,1,0,0,0,0,0,1,0.004343815831887062,0.05009305875474409
405,1,0,0,0,0,1,1,0.00504443128864304,0.00622625589042017
406,0,0,2,1,1,1,0,0.0009570964892811223,0.0003873495916203359
407,0,0,2,1,1,0,1,0.0008241664213254108,0.0031164035325817927
408,1,0,2,0,0,0,1,0.0011090593613328672,0.00845726965989186
409,0,0,0,1,1,0,1,0.003227985150191193,0.01845869784683062
410,1,0,2,0,0,1,1,0.0012879399034833295,0.0010511860594215872
411,1,0,0,0,1,0,1,0.002372391723569088,0.0448452145042471
412,0,0,0,1,1,0,1,0.003227985150191193,0.01845869784683062
413,1,0,0,1,1,0,0,0.0039019600716596837,0.013482874948989322
414,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
415,0,0,2,1,1,0,1,0.0008241664213254108,0.0031164035325817927
416,1,0,0,0,1,0,1,0.002372391723569088,0.0448452145042471
417,1,0,0,0,0,1,1,0.00504443128864304,0.00622625589042017
418,0,0,0,0,0,0,1,0.0035935203700156603,0.06857978281899488
419,0,0,2,0,0,0,1,0.00091749456255719,0.011578404891518615
420,1,0,0,0,0,1,1,0.00504443128864304,0.00622625589042017
421,0,0,0,1,1,1,0,0.0037486279163510628,0.0022943014272896814
422,1,0,0,0,1,1,1,0.0027550355499511986,0.005573981463804724
423,0,0,0,0,0,0,1,0.0035935203700156603,0.06857978281899488
424,0,0,0,0,0,0,1,0.0035935203700156603,0.06857978281899488
425,1,0,0,0,0,1,1,0.00504443128864304,0.00622625589042017
426,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
427,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
428,0,1,0,1,1,0,1,0.007585765102949304,0.0031488366915181643
429,1,0,2,0,1,1,0,0.0007034133319024338,0.0009410618055774209
430,1,0,0,0,1,0,1,0.002372391723569088,0.0448452145042471
431,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
432,0,0,1,1,0,1,0,0.006060487746093493,0.0003161875758111988
433,1,0,0,1,0,0,0,0.007144433934024774,0.015060658187700837
434,1,0,0,0,0,1,1,0.00504443128864304,0.00622625589042017
435,1,0,0,0,0,1,1,0.00504443128864304,0.00622625589042017
