,坚持考研条件下属性名称,坚持考研条件下属性概率,放弃考研条件下属性名称,放弃考研条件下属性概率
0,坚持考研,0.5025,放弃考研,0.4975
1,男生|坚持考研,0.4527363184079602,男生|放弃考研,0.5778894472361809
2,女生|坚持考研,0.5472636815920398,女生|放弃考研,0.4221105527638191
3,焦虑|坚持考研,0.29850746268656714,焦虑|放弃考研,0.8542713567839196
4,不焦虑|坚持考研,0.7014925373134329,不焦虑|放弃考研,0.1457286432160804
5,积极|坚持考研,0.4129353233830846,积极|放弃考研,0.09547738693467336
6,消极|坚持考研,0.46766169154228854,消极|放弃考研,0.7738693467336684
7,二者之间|坚持考研,0.11940298507462686,二者之间|放弃考研,0.1306532663316583
8,有损失|坚持考研,0.3781094527363184,有损失|放弃考研,0.7688442211055276
9,没损失|坚持考研,0.6218905472636815,没损失|放弃考研,0.23115577889447236
10,扩大招生|坚持考研,0.6467661691542289,扩大招生|放弃考研,0.5276381909547738
11,没扩大招生|坚持考研,0.35323383084577115,没扩大招生|放弃考研,0.4723618090452261
12,备考更加困难|坚持考研,0.4626865671641791,备考更加困难|放弃考研,0.8894472361809045
13,备考没有更加困难|坚持考研,0.5373134328358209,备考没有更加困难|放弃考研,0.11055276381909548
