'吉林省人参产业条例',吉林省人民代表大会常务委员会,2015,现行有效,地方性法规及文件
'长春汽车产业开发区条例',长春市人民代表大会常务委员会,2007-12-06,现行有效,地方性法规及文件
'吉林省人民政府办公厅关于加强鲜食玉米品牌建设加快鲜食玉米产业发展的实施意见',吉林省人民政府办公厅,2020-05-18,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于支持吉林省智能网联及新能源汽车供应链产业园发展若干措施的通知',吉林省人民政府办公厅,2019-09-29,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于加快推进环保产业振兴发展的若干意见',吉林省人民政府办公厅,2019-09-09,现行有效,地方政府规章及文件
'白山市人民政府办公室关于建设白山市网商(虚拟)产业园的实施意见(试行)',白山市人民政府办公室,2019-08-13,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于印发“一主、六双”产业空间布局规划配套政策的通知',吉林省人民政府办公厅,2019-04-24,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发《西安市加快县域工业集中区和产业园区建设行动计划》的通知',西安市人民政府办公厅,2019-03-30,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发西安市装备制造业产业发展规划(2019—2021年)的通知',西安市人民政府办公厅,2019-03-23,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于印发吉林省产业投资引导基金管理办法的通知',吉林省人民政府办公厅,2019-03-21,现行有效,地方政府规章及文件
'辽源市人民政府关于印发辽源市医药健康产业走廊建设实施方案的通知',辽源市人民政府,2019-03-15,现行有效,地方政府规章及文件
'吉林省人民政府关于加快推进农业机械化和农机装备产业转型升级的实施意见',吉林省人民政府,2019-03-01,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发《西安市科技金融产业发展规划(2019—2021年)》的通知',西安市人民政府办公厅,2019-02-04,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于印发吉林省加快特色产业小镇创建实施方案的通知',吉林省人民政府办公厅,2019-02-03,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于印发吉林省农业高新技术产业示范区建设方案的通知',吉林省人民政府办公厅,2019-01-22,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于加快发展健身休闲产业的实施意见',吉林省人民政府办公厅,2019-01-11,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于推进人参产业高质量发展的意见',吉林省人民政府办公厅,2019-01-09,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于印发支持通用航空产业发展若干政策的通知',吉林省人民政府办公厅,2019-01-01,现行有效,地方政府规章及文件
'辽源市人民政府办公室关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',辽源市人民政府办公室,2018-12-29,现行有效,地方政府规章及文件
'西安市人民政府关于印发《西安市鼓励甲醇汽车产业发展若干政策》的通知',西安市人民政府,2018-12-17,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于印发吉林省扶贫产业保险实施办法(暂行)的通知',吉林省人民政府办公厅,2018-11-22,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发《西安旅游产业倍增计划(2018—2021年)》的通知',西安市人民政府办公厅,2018-09-07,现行有效,地方政府规章及文件
'四平市人民政府办公室关于加快发展康复辅助器具产业的实施意见',四平市人民政府办公室,2018-06-12,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发促进光伏产业持续健康发展实施意见的通知',西安市人民政府办公厅,2018-04-14,已失效,地方政府规章及文件
'西安市人民政府办公厅关于印发《进一步创新完善财政支持产业发展方式的意见》的通知',西安市人民政府办公厅,2018-03-26,现行有效,地方政府规章及文件
'西安市人民政府关于印发支持西安经开区千亿级汽车产业集群发展若干意见的通知',西安市人民政府,2018-02-09,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',吉林省人民政府办公厅,2018-01-12,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于推进农村一二三产业融合发展的实施意见',西安市人民政府办公厅,2017-12-27,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于支持苏州市社会力量在西安投资兴业参与产业扶贫的若干意见',西安市人民政府办公厅,2017-12-17,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发支持返乡下乡人员创业创新促进农村一二三产业融合发展的实施方案的通知',西安市人民政府办公厅,2017-12-12,现行有效,地方政府规章及文件
'西安市人民政府办公厅关于印发《西安市发展硬科技产业十条措施》的通知',西安市人民政府办公厅,2017-11-04,现行有效,地方政府规章及文件
'吉林省人民政府关于加快发展康复辅助器具产业的实施意见',吉林省人民政府,2017-09-09,现行有效,地方政府规章及文件
'辽源市人民政府关于印发辽源市老工业基地产业转型技术技能人才双元培育改革试点实施方案的通知',辽源市人民政府,2017-08-17,现行有效,地方政府规章及文件
'西安市人民政府关于印发西安市大数据产业发展实施方案(2017—2021年)的通知',西安市人民政府,2017-08-02,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于印发吉林省战略性新兴产业“十三五”发展规划的通知',吉林省人民政府办公厅,2017-04-16,现行有效,地方政府规章及文件
'西安市人民政府关于加快服务外包产业发展的实施意见',西安市人民政府,2017-04-09,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于石化产业调结构促转型增效益的实施意见',吉林省人民政府办公厅,2017-02-03,现行有效,地方政府规章及文件
'辽源市人民政府办公室关于金融支持文化产业发展的实施意见',辽源市人民政府办公室,2016-12-23,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于以市场化方式发展养老服务产业的实施意见',吉林省人民政府办公厅,2016-12-16,现行有效,地方政府规章及文件
'省委、省政府关于做大做强冰雪产业的实施意见',中共吉林省委;吉林省人民政府,2016-09-07,现行有效,地方政府规章及文件
'吉林省林业厅关于分解落实九大产业工程任务的通知',吉林省林业厅,2016-07-18,现行有效,地方政府规章及文件
'吉林省人民政府办公厅关于金融支持文化产业发展的实施意见',吉林省人民政府办公厅,2016-04-27,现行有效,地方政府规章及文件
