'太原市促进文化产业发展条例',太原市人民代表大会常务委员会,2009-04-01,现行有效,地方性法规及文件
'山西省人民政府关于印发山西省新时期促进集成电路产业和软件产业高质量发展若干政策的通知',山西省人民政府,2020-11-18,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省支持新材料产业高质量发展若干政策的通知',山西省人民政府,2020-09-19,现行有效,地方政府规章及文件
'山西省人民政府关于支持晋中国家农业高新技术产业示范区建设的若干意见',山西省人民政府,2020-08-14,现行有效,地方政府规章及文件
'山西省人民政府办公厅关于克服疫情影响确保贫困群众产业就业增收有关政策措施的通知',山西省人民政府办公厅,2020-02-28,现行有效,地方政府规章及文件
'山西省人民政府关于加快推进农产品精深加工十大产业集群发展的意见',山西省人民政府,2020-02-18,现行有效,地方政府规章及文件
'忻州市人民政府关于印发忻州市加快5G产业发展实施方案和政策措施的通知',忻州市人民政府,2019-11-01,现行有效,地方政府规章及文件
'山西省人民政府关于加快推进农业机械化和农机装备产业转型升级的实施意见',山西省人民政府,2019-10-11,现行有效,地方政府规章及文件
'山西省人民政府关于加快我省数据标注产业发展的实施意见',山西省人民政府,2019-07-09,现行有效,地方政府规章及文件
'山西省人民政府办公厅关于加快杂粮全产业链开发的实施意见',山西省人民政府办公厅,2019-04-29,现行有效,地方政府规章及文件
'忻州市人民政府办公室关于抓好我市新型工业化产业示范基地建设工作的通知',忻州市人民政府办公室,2019-02-12,现行有效,地方政府规章及文件
'晋中市人民政府关于印发晋中市支持甲醇锅炉及相关产业做大做强实施方案的通知',晋中市人民政府,2019-01-11,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于印发晋中市焦化产业打好污染防治攻坚战推动转型升级行动计划的通知',晋中市人民政府办公厅,2018-12-10,现行有效,地方政府规章及文件
'临汾市人民政府办公厅关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',临汾市人民政府办公厅,2018-12-03,现行有效,地方政府规章及文件
'吕梁市人民政府办公厅关于印发吕梁市产业扶贫贷款风险补偿基金实施方案(2018年修订)的通知',吕梁市人民政府办公厅,2018-11-26,现行有效,地方政府规章及文件
'关于壮大新产业新业态加快推进城郊农业发展的实施意见',吕梁市人民政府办公厅,2018-10-01,现行有效,地方政府规章及文件
'晋城市人民政府办公厅关于印发晋城市功能食品产业规划(2018-2020年)的通知',晋城市人民政府办公厅,2018-09-25,现行有效,地方政府规章及文件
'关于建设综合康养产业区2018年行动方案',大同市人民政府办公厅,2018-08-22,现行有效,地方政府规章及文件
'关于印发吕梁市数字经济产业园大数据产业发展优惠政策的通知',吕梁市人民政府办公厅,2018-08-17,现行有效,地方政府规章及文件
'关于建设综合康养产业区实施意见',大同市人民政府办公厅,2018-06-29,现行有效,地方政府规章及文件
'关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',大同市人民政府办公厅,2018-06-06,现行有效,地方政府规章及文件
'朔州市人民政府办公厅关于加快发展健身休闲产业的实施意见',朔州市人民政府办公厅,2018-05-23,现行有效,地方政府规章及文件
'关于印发大同市加快推进健康产业发展的实施方案的通知',大同市人民政府办公厅,2018-05-18,现行有效,地方政府规章及文件
'忻州市人民政府办公厅关于加快推进我市农业供给侧结构性改革大力发展粮食产业经济的实施意见',忻州市人民政府办公厅,2018-05-18,现行有效,地方政府规章及文件
'晋城市人民政府办公厅关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',晋城市人民政府办公厅,2018-04-26,现行有效,地方政府规章及文件
'忻州市人民政府办公厅关于印发忻州市加快推进健康产业发展实施方案的通知',忻州市人民政府办公厅,2018-04-20,现行有效,地方政府规章及文件
'临汾市人民政府办公厅关于加快推进房地产业持续健康发展的实施意见',临汾市人民政府办公厅,2018-04-16,现行有效,地方政府规章及文件
'关于创建市级现代农业产业园的意见',大同市人民政府办公厅,2018-04-11,现行有效,地方政府规章及文件
'吕梁市人民政府办公厅关于印发吕梁市大数据产业发展2018年行动计划的通知',吕梁市人民政府办公厅,2018-04-02,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于印发晋中市特优区现代农业产业园创建方案的通知',晋中市人民政府办公厅,2018-03-26,现行有效,地方政府规章及文件
'关于壮大新产业新业态加快城郊农业发展的实施意见',大同市人民政府办公厅,2018-03-20,现行有效,地方政府规章及文件
'朔州市人民政府办公厅关于印发朔州市促进陶瓷产业做大做强若干措施的通知',朔州市人民政府办公厅,2018-02-13,已失效,地方政府规章及文件
'关于印发《关于加快推进房地产业持续健康发展的意见》的通知',大同市人民政府办公厅,2018-01-23,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于加快发展健身休闲产业的实施意见',晋中市人民政府办公厅,2017-12-28,现行有效,地方政府规章及文件
'忻州市人民政府办公厅关于印发忻州市加快发展康复辅助器具产业实施方案的通知',忻州市人民政府办公厅,2017-12-28,现行有效,地方政府规章及文件
'山西省人民政府关于同意山西转型综合改革示范区潇河产业园区晋中起步区总体规划(2016-2030年)的批复',山西省人民政府,2017-10-12,现行有效,地方政府规章及文件
'吕梁市人民政府关于印发吕梁市大数据产业发展应用规划(2017-2020年)等三个文件的通知',吕梁市人民政府,2017-07-15,现行有效,地方政府规章及文件
'吕梁市人民政府办公厅关于印发吕梁市农业产业扶贫贷款风险补偿基金实施方案的通知',吕梁市人民政府办公厅,2017-07-15,现行有效,地方政府规章及文件
'临汾市人民政府办公厅关于印发临汾市推进“一村一品一主体”产业扶贫工作方案的通知',临汾市人民政府办公厅,2017-07-04,现行有效,地方政府规章及文件
'忻州市人民政府办公厅关于印发忻州市加快推进新材料产业发展实施方案的通知',忻州市人民政府办公厅,2017-06-27,现行有效,地方政府规章及文件
'吕梁市人民政府办公厅关于印发吕梁市加快推进新材料产业发展实施方案的通知',吕梁市人民政府办公厅,2017-06-14,现行有效,地方政府规章及文件
'吕梁市人民政府办公厅关于印发吕梁市2017年特色农业产业扶贫实施方案的通知',吕梁市人民政府办公厅,2017-05-16,现行有效,地方政府规章及文件
'吕梁市人民政府办公厅关于印发吕梁市推进“一村一品一主体”产业扶贫行动方案的通知',吕梁市人民政府办公厅,2017-05-09,现行有效,地方政府规章及文件
'忻州市人民政府办公厅关于杂粮产业振兴工程的实施意见',忻州市人民政府办公厅,2017-05-03,现行有效,地方政府规章及文件
'高平市人民政府办公室关于推进“一村一品一主体”产业扶贫的实施意见',高平市人民政府办公室,2017-04-30,现行有效,地方政府规章及文件
'朔州市人民政府办公厅关于推进“一村一品一主体”产业扶贫的实施意见',朔州市人民政府办公厅,2017-04-12,现行有效,地方政府规章及文件
'高平市人民政府办公室关于印发高平市精准脱贫产业扶持实施办法的通知',高平市人民政府办公室,2017-03-28,现行有效,地方政府规章及文件
'印发《关于推进“一村一品一主体”产业扶贫的实施方案》的通知',大同市人民政府办公厅,2017-03-27,现行有效,地方政府规章及文件
'晋城市人民政府办公厅关于推进“一村一品一主体”产业扶贫的实施意见',晋城市人民政府办公厅,2017-02-27,现行有效,地方政府规章及文件
'晋中市人民政府关于培育壮大战略性新兴产业和特色产业的实施意见',晋中市人民政府,2017-02-22,现行有效,地方政府规章及文件
'关于印发大同市促进医药产业健康发展实施方案的通知',大同市人民政府办公厅,2016-12-26,现行有效,地方政府规章及文件
'朔州市人民政府办公厅关于印发朔州市新能源汽车产业发展和推广应用2016年行动计划的通知',朔州市人民政府办公厅,2016-08-09,现行有效,地方政府规章及文件
'朔州市人民政府办公厅关于印发朔州市加快新能源汽车产业发展和推广应用工作方案的通知',朔州市人民政府办公厅,2016-08-09,现行有效,地方政府规章及文件
'高平市人民政府关于支持承接加工贸易产业转移若干政策措施的通知',高平市人民政府,2016-08-08,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于印发晋中108示范区科技产业园实施方案的通知',晋中市人民政府办公厅,2016-07-18,现行有效,地方政府规章及文件
'晋中市人民政府关于印发晋中市支持承接加工贸易产业转移若干政策措施的通知',晋中市人民政府,2016-07-14,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于印发晋中市承接加工贸易产业转移的实施意见的通知',晋中市人民政府办公厅,2016-07-14,现行有效,地方政府规章及文件
'晋中市人民政府办公厅关于印发晋中市承接加工贸易产业转移目标考核办法的通知',晋中市人民政府办公厅,2016-07-14,现行有效,地方政府规章及文件
'山西省人民政府关于印发山西省“十三五”战略性新兴产业发展规划的通知',山西省人民政府,2016-07-13,现行有效,地方政府规章及文件
'临汾市人民政府印发关于支持承接加工贸易产业转移若干政策措施的通知',临汾市人民政府,2016-06-30,现行有效,地方政府规章及文件
'晋城市人民政府办公厅关于印发晋城市承接加工贸易产业转移目标考评办法的通知',晋城市人民政府办公厅,2016-06-28,现行有效,地方政府规章及文件
'关于印发大同市承接加工贸易产业转移目标考评办法的通知',大同市人民政府办公厅,2016-06-27,现行有效,地方政府规章及文件
'朔州市人民政府办公厅关于印发朔州市承接加工贸易产业转移工作实施方案的通知',朔州市人民政府办公厅,2016-06-13,现行有效,地方政府规章及文件
