'河南省促进高新技术产业发展条例',河南省人民代表大会常务委员会,2011-06-13,现行有效,地方性法规及文件
'河南省人民政府关于推进产业集聚区用地提质增效促进县域经济高质量发展的意见',河南省人民政府,2020-11-21,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发全省产业集聚区“百园增效”行动方案的通知',河南省人民政府办公厅,2020-11-19,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于加快推进农业机械化和农机装备产业高质量发展的意见',河南省人民政府办公厅,2020-07-10,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省加快5G产业发展三年行动计划(2020—2022年)的通知',河南省人民政府办公厅,2020-05-27,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市氢能与燃料电池产业发展规划和新乡市氢能与燃料电池产业发展实施意见的通知',新乡市人民政府办公室,2020-04-08,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发洛阳市推进产业集聚区高质量发展三年行动计划(2020－2022年)的通知',洛阳市人民政府办公室,2020-04-03,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发应对新冠肺炎疫情影响促进房地产业和建筑业平稳健康发展的十条意见的通知',新乡市人民政府办公室,2020-02-23,已失效,地方政府规章及文件
'洛阳市人民政府关于印发两岸(河南)智能装备产业基地洛阳核心区建设方案的通知',洛阳市人民政府,2019-09-03,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发《驻马店市市级现代农业产业园创建工作方案(2019—2022年)》的通知',驻马店市人民政府办公室,2019-08-28,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发《两岸(河南)智能装备产业基地新乡市核心区建设方案》的通知',新乡市人民政府办公室,2019-08-06,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省推进产业集聚区高质量发展行动方案的通知',河南省人民政府办公厅,2019-07-26,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于大力发展粮食产业经济的实施意见',洛阳市人民政府办公室,2019-06-25,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市5G产业发展行动方案新乡市传感器产业培育建设方案的通知',新乡市人民政府办公室,2019-06-10,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于鼓励和扶持动漫产业发展的若干意见',平顶山市人民政府办公室,2019-05-31,现行有效,地方政府规章及文件
'驻马店市人民政府关于加快新能源汽车推广应用及产业集群发展的实施意见',驻马店市人民政府,2019-05-23,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于大力发展粮食产业经济加快建设粮食经济强市的实施意见',鹤壁市人民政府办公室,2019-04-03,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于支持中国(驻马店)国际农产品加工产业园发展的意见',河南省人民政府办公厅,2019-03-29,现行有效,地方政府规章及文件
'河南省人民政府关于加快建设国家生物育种产业创新中心的若干意见',河南省人民政府,2019-03-28,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于促进生猪产业转型升级的意见',河南省人民政府办公厅,2019-03-08,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于优化全市产业布局的意见',洛阳市人民政府办公室,2019-02-28,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于印发平顶山市加快尼龙新材料产业发展实施方案的通知',平顶山市人民政府办公室,2019-02-01,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于废止驻马店市促进电动车产业发展有关文件的通知',驻马店市人民政府办公室,2019-01-16,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省智能装备产业发展行动方案的通知',河南省人民政府办公厅,2019-01-08,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于大力发展粮食产业经济加快建设粮食经济强市的实施意见',新乡市人民政府办公室,2019,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于大力发展粮食产业经济的实施意见',平顶山市人民政府办公室,2018-12-29,现行有效,地方政府规章及文件
'焦作市人民政府办公室关于印发焦作市扶持健康养老产业发展的若干政策措施的通知',焦作市人民政府办公室,2018-12-29,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省新型显示和智能终端产业发展行动方案等8个方案的通知',河南省人民政府办公厅,2018-12-21,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发洛阳市加快推进智能传感器产业发展行动计划(2018-2020年)的通知',洛阳市人民政府办公室,2018-11-30,已失效,地方政府规章及文件
'洛阳市人民政府办公室关于印发洛阳市支持钛产业发展六项措施的通知',洛阳市人民政府办公室,2018-11-09,现行有效,地方政府规章及文件
'驻马店市人民政府关于加快现代高效农业发展推动产业振兴的若干意见',驻马店市人民政府,2018-11-06,现行有效,地方政府规章及文件
'驻马店市人民政府关于推进静脉产业园建设三年行动计划(2018—2020年)的实施方案',驻马店市人民政府,2018-10-28,现行有效,地方政府规章及文件
'洛阳市人民政府关于批转《洛阳市文化产业双十工程实施方案》的通知',洛阳市人民政府,2018-10-25,现行有效,地方政府规章及文件
'漯河市人民政府办公室关于印发漯河市推进健康养老产业转型发展实施方案的通知',漯河市人民政府办公室,2018-10-18,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省促进大数据产业发展若干政策的通知',河南省人民政府办公厅,2018-09-26,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于加快发展粮食产业经济的实施意见',驻马店市人民政府办公室,2018-09-12,现行有效,地方政府规章及文件
'开封市人民政府关于构建重点产业促进政策体系加快对外开放打造内陆开放高地先行区的意见',开封市人民政府,2018-09-11,现行有效,地方政府规章及文件
'邓州市人民政府关于支持工业主导产业发展的意见',邓州市人民政府,2018-09-06,现行有效,地方政府规章及文件
'唐河县人民政府办公室关于印发唐河县农业扶贫产业基地奖补资金使用方案的通知',南阳市唐河县人民政府办公室,2018-08-23,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市化工产业转型发展行动计划(2018—2020年)的通知',驻马店市人民政府办公室,2018-08-14,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市生物医药产业转型发展行动计划(2018—2020年)的通知',驻马店市人民政府办公室,2018-08-14,现行有效,地方政府规章及文件
'邓州市人民政府关于印发邓州市加快化纤产业发展优惠政策(试行)的通知',邓州市人民政府,2018-08-10,现行有效,地方政府规章及文件
'鹤壁市人民政府关于印发鹤壁市支持镁产业转型发展若干政策的通知',鹤壁市人民政府,2018-08-01,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于大力发展粮食产业经济加快建设粮食经济强省的实施意见',河南省人民政府办公厅,2018-08-01,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于印发2018年邓州市支持肉牛奶牛产业发展资金项目实施方案的通知',邓州市人民政府办公室,2018-07-31,现行有效,地方政府规章及文件
'关于印发2018年推进健康养老产业转型发展专项方案的通知',河南省推进健康养老产业转型发展厅际联席会议办公室,2018-07-10,现行有效,地方政府规章及文件
'唐河县人民政府办公室关于印发唐河红薯产业发展实施意见的通知',南阳市唐河县人民政府办公室,2018-06-28,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于组建新乡市产业转型发展基金(母基金)有关事项的通知',新乡市人民政府办公室,2018-06-18,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发漯河经济技术开发区焦作高新技术产业开发区开展“证照分离”改革试点方案的通知',河南省人民政府办公厅,2018-06-16,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于实施“三大改造”加快产业转型升级若干财政政策的意见',新乡市人民政府办公室,2018-06-08,已失效,地方政府规章及文件
'封丘县人民政府关于印发《封丘金银花产业发展实施纲要》的通知',新乡市封丘县人民政府,2018-05-23,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于印发《商丘市入驻产业集聚区工业企业智能化评价标准》的通知',商丘市人民政府办公室,2018-05-22,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发河南省(新乡)军民融合产业基地2018年度行动计划的通知',新乡市人民政府办公室,2018-05-19,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发《鹤壁市创新产业扶贫利益联结机制加强产业扶贫实施方案》《鹤壁市加强转移就业脱贫工作实施方案》的通知',鹤壁市人民政府办公室,2018-05-14,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省大数据产业发展三年行动计划(2018-2020年)的通知',河南省人民政府办公厅,2018-05-09,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于大力发展稻渔综合种养加快产业精准扶贫的通知',邓州市人民政府办公室,2018-05-07,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发《驻马店市推进健康养老产业转型发展三年行动方案》和《驻马店市支持健康养老产业转型发展若干政策》的通知',驻马店市人民政府办公室,2018-04-26,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于印发2018年商丘市加快产业集聚区提质转型发展专项工作方案的通知',商丘市人民政府办公室,2018-04-25,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市推进健康养老产业转型发展实施方案和若干政策的通知',新乡市人民政府办公室,2018-04-23,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于印发商丘市支持健康养老产业转型发展若干政策的通知',商丘市人民政府办公室,2018-04-20,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于印发商丘市推进健康养老产业转型发展实施意见的通知',商丘市人民政府办公室,2018-04-20,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于印发邓州市主导产业2018年行动计划的通知',邓州市人民政府办公室,2018-04-19,现行有效,地方政府规章及文件
'关于开发性金融支持健康养老产业转型发展的通知',河南省发展和改革委员会;河南省民政厅;河南省卫生和计划生育委员会;国家开发银行股份有限公司河南省分行,2018-04-17,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市支持企业做优做强促进产业转型升级的工作方案的通知',驻马店市人民政府办公室,2018-04-04,现行有效,地方政府规章及文件
'关于印发2018年度河南省创业投资和产业投资基金设立引导目录的通知',河南省发展和改革委员会;河南省财政厅;河南省工商行政管理局;河南省人民政府金融服务办公室;中国证券监督管理委员会河南监管局,2018-04-03,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于印发邓州市2017年度农村一二三产业融合发展试点项目实施方案的通知',邓州市人民政府办公室,2018-03-28,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于印发邓州市推进健康养老产业转型发展方案若干政策和产业布局规划的通知',邓州市人民政府办公室,2018-03-26,现行有效,地方政府规章及文件
'关于印发示范区高科技产业和高端人才引进办法的通知',商丘市城乡一体化示范区管理委员会,2018-03-23,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于进一步加快蔬菜产业发展的意见',洛阳市人民政府办公室,2018-03-06,现行有效,地方政府规章及文件
'潢川县人民政府办公室关于印发潢川县2018年再生稻产业发展工作方案的通知',信阳市潢川县人民政府办公室,2018-03-02,现行有效,地方政府规章及文件
'遂平县人民政府办公室关于印发遂平县支持旅游产业发展奖励办法的通知',驻马店市遂平县人民政府办公室,2018-02-20,现行有效,地方政府规章及文件
'遂平县人民政府办公室关于印发遂平县旅游产业转型升级行动方案(2018—2020年)的通知',驻马店市遂平县人民政府办公室,2018-02-08,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市食品产业转型升级行动计划(2018—2020年)的通知',驻马店市人民政府办公室,2018-02-05,现行有效,地方政府规章及文件
'关于转发《关于促进储能技术与产业发展的指导意见》的通知',河南省发展和改革委员会,2018-02-04,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发河南省(新乡)军民融合产业基地建设实施方案的通知',新乡市人民政府办公室,2018-01-19,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于印发平顶山市推进健康养老产业转型发展实施方案若干政策和产业发展规划的通知',平顶山市人民政府办公室,2018-01-18,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市旅游产业转型升级行动方案(2018-2020年)的通知',新乡市人民政府办公室,2018-01-08,现行有效,地方政府规章及文件
'关于加快推进国家高技术产业发展项目验收工作的通知',河南省发展和改革委员会,2018-01-03,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发洛阳市牡丹产业发展规划(2017-2025年)的通知',洛阳市人民政府办公室,2017-12-30,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于印发邓州市工业主导产业转型升级绩效考评奖励实施方案的通知',邓州市人民政府办公室,2017-12-26,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于促进产业集聚区和开发区改革创新发展的实施意见',河南省人民政府办公厅,2017-12-12,现行有效,地方政府规章及文件
'濮阳市人民政府办公室关于印发濮阳市旅游产业转型发展行动方案(2017—2020年)的通知',濮阳市人民政府办公室,2017-12-04,现行有效,地方政府规章及文件
'濮阳市人民政府办公室关于印发濮阳市“十三五”旅游产业发展规划的通知',濮阳市人民政府办公室,2017-12-04,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市白酒产业转型发展行动计划(2017—2020年)的通知',驻马店市人民政府办公室,2017-11-24,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于印发邓州市一二三产业融合发展实验区特色农业项目贷款利息补贴实施方案的通知',邓州市人民政府办公室,2017-11-13,已失效,地方政府规章及文件
'邓州市人民政府办公室关于印发2017年邓州市支持肉牛奶牛产业发展资金项目实施方案的通知',邓州市人民政府办公室,2017-11-10,现行有效,地方政府规章及文件
'封丘县人民政府关于印发《封丘县产业支撑体系建设工作方案》的通知',新乡市封丘县人民政府,2017-11-09,现行有效,地方政府规章及文件
'柘城县人民政府办公室关于印发柘城县产粮(油)大县蔬菜产业重点县土壤环境保护方案的通知',商丘市柘城县人民政府办公室,2017-11-08,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于推进农村一二三产业融合发展的实施意见',平顶山市人民政府办公室,2017-10-27,现行有效,地方政府规章及文件
'漯河市人民政府关于大力推进装配式建筑产业发展的实施意见',漯河市人民政府,2017-10-24,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市旅游产业转型升级行动方案(2017—2020年)的通知',驻马店市人民政府办公室,2017-10-22,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市支持旅游产业发展奖励办法的通知',驻马店市人民政府办公室,2017-10-22,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市“十三五”旅游产业发展规划的通知',驻马店市人民政府办公室,2017-10-22,现行有效,地方政府规章及文件
'关于做好创业投资和产业投资基金信息登记和披露工作的通知',河南省发展和改革委员会,2017-10-20,现行有效,地方政府规章及文件
'柘城县人民政府关于柘城县2018年辣椒产业发展的意见',商丘市柘城县人民政府,2017-10-09,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发《驻马店市支持肉牛奶牛产业发展实施方案》的通知',驻马店市人民政府办公室,2017-09-30,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省推进健康养老产业转型发展方案若干政策和产业布局规划的通知',河南省人民政府办公厅,2017-09-19,现行有效,地方政府规章及文件
'新乡市人民政府关于支持肉牛奶牛产业发展的实施意见',新乡市人民政府,2017-09-05,现行有效,地方政府规章及文件
'南阳市人民政府办公室关于转发《河南省人民政府办公厅加快地理信息产业发展实施意见》的通知',南阳市人民政府办公室,2017-08-30,现行有效,地方政府规章及文件
'柘城县人民政府办公室关于柘城县产业扶贫车间(工厂)和扶贫基地建设实施意见',商丘市柘城县人民政府办公室,2017-08-26,现行有效,地方政府规章及文件
'邓州市人民政府关于印发邓州市产业扶持脱贫实施方案的通知',邓州市人民政府,2017-08-25,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于印发平顶山市加快培育发展新兴产业集群实施方案的通知',平顶山市人民政府办公室,2017-08-18,现行有效,地方政府规章及文件
'焦作市人民政府办公室关于印发焦作市加快推进文化康养产业发展实施方案的通知',焦作市人民政府办公室,2017-08-14,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于转发《平顶山市产业扶持脱贫实施方案》等13个方案的通知',平顶山市人民政府办公室,2017-08-11,现行有效,地方政府规章及文件
'潢川县人民政府办公室关于印发潢川县产业+金融扶贫转移就业奖励措施实施办法的通知',信阳市潢川县人民政府办公室,2017-08-10,现行有效,地方政府规章及文件
'柘城县人民政府办公室关于印发柘城县再生资源静脉产业园及回收利用体系建设工作方案的通知',商丘市柘城县人民政府办公室,2017-08-04,现行有效,地方政府规章及文件
'固始县人民政府办公室关于印发三高养殖小区产业扶贫实施办法的通知',信阳市固始县人民政府办公室,2017-08-04,现行有效,地方政府规章及文件
'关于推进产业集聚区售电服务全覆盖工作的通知',河南省发展和改革委员会,2017-07-21,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于修订加快新能源汽车产业发展实施意见的通知',平顶山市人民政府办公室,2017-07-11,现行有效,地方政府规章及文件
'方城县人民政府关于印发方城县产业集聚区项目建设管理服务暂行办法(修订)的通知',南阳市方城县人民政府,2017-06-30,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于印发2017年鹤壁市产业集聚区效能提升工程实施方案的通知',鹤壁市人民政府办公室,2017-06-08,现行有效,地方政府规章及文件
'周口市人民政府关于提升产业扶贫基地建设水平促进贫困户持续增收的指导意见',周口市人民政府,2017-06-01,现行有效,地方政府规章及文件
'焦作市人民政府办公室关于加快焦作国家高新技术产业开发区发展的实施意见',焦作市人民政府办公室,2017-05-31,现行有效,地方政府规章及文件
'漯河市人民政府关于推进现代农业产业联盟发展的实施意见',漯河市人民政府,2017-05-26,现行有效,地方政府规章及文件
'封丘县人民政府办公室关于进一步完善封丘县农业产业扶贫项目库建设的通知',新乡市封丘县人民政府办公室,2017-05-25,现行有效,地方政府规章及文件
'固始县人民政府办公室关于修订印发固始县财政产业扶贫贷款贴息资金管理办法的通知',信阳市固始县人民政府办公室,2017-05-22,现行有效,地方政府规章及文件
'邓州市人民政府办公室关于支持返乡下乡人员创业创新促进农村一二三产业融合发展的实施意见',邓州市人民政府办公室,2017-05-11,现行有效,地方政府规章及文件
'潢川县人民政府办公室关于印发潢川县产业+金融扶贫贷款贷后管理办法(试行)的通知',信阳市潢川县人民政府办公室,2017-04-28,现行有效,地方政府规章及文件
'焦作市人民政府办公室关于推进建筑产业现代化发展的意见',焦作市人民政府办公室,2017-04-28,现行有效,地方政府规章及文件
'漯河市人民政府办公室关于印发漯河市百企帮万户产业扶贫工程实施方案等的通知',漯河市人民政府办公室,2017-04-27,现行有效,地方政府规章及文件
'洛阳市人民政府关于支持肉牛奶牛产业发展促进农业结构转型升级的意见',洛阳市人民政府,2017-04-22,现行有效,地方政府规章及文件
'商丘市人民政府办公室转发《河南省人民政府办公厅关于支持返乡下乡人员创业创新促进农村一二三产业融合发展实施意见》的通知',商丘市人民政府办公室,2017-04-17,现行有效,地方政府规章及文件
'商丘市人民政府办公室转发《河南省人民政府办公厅关于推进农村一二三产业融合发展实施意见》的通知',商丘市人民政府办公室,2017-04-16,现行有效,地方政府规章及文件
'潢川县人民政府办公室关于印发开发性金融支持潢川县现代农业及产业扶贫统贷管理暂行办法的通知',信阳市潢川县人民政府办公室,2017-04-14,现行有效,地方政府规章及文件
'潢川县人民政府办公室关于印发潢川县产业+金融扶贫贷款担保风险补偿专项资金管理暂行办法的通知',信阳市潢川县人民政府办公室,2017-04-14,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于印发洛阳市推进农村一二三产业融合发展工作实施方案的通知',洛阳市人民政府办公室,2017-04-12,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发郑州市2017年都市生态农业产业发展专项实施方案的通知',郑州市人民政府办公厅,2017-03-26,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发郑州市“十三五”文化事业产业发展规划的通知',郑州市人民政府办公厅,2017-03-17,现行有效,地方政府规章及文件
'罗山县人民政府关于成立罗山县产业集聚区污水处理项目建设工作领导小组的通知',信阳市罗山县人民政府,2017-03-16,现行有效,地方政府规章及文件
'关于加强南水北调对口协作产业扶持专项资金项目管理的通知',河南省发展和改革委员会,2017-03-15,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于加快培育发展新兴产业集群的实施意见',河南省人民政府办公厅,2017-03-14,现行有效,地方政府规章及文件
'邓州市人民政府关于建立产业集聚区财政体制的意见',邓州市人民政府,2017-03-11,已失效,地方政府规章及文件
'平顶山市人民政府关于印发平顶山市产业升级引导基金实施方案的通知',平顶山市人民政府,2017-03-05,现行有效,地方政府规章及文件
'关于印发武陟县产业集聚区环境综合整治方案的通知',焦作市武陟县人民政府办公室,2017-02-28,现行有效,地方政府规章及文件
'郑州市人民政府关于促进大数据产业发展的若干意见',郑州市人民政府,2017-02-27,已失效,地方政府规章及文件
'邓州市人民政府办公室关于印发邓州市主导产业2017年行动计划的通知',邓州市人民政府办公室,2017-02-24,现行有效,地方政府规章及文件
'关于印发《河南省大数据产业发展引导目录(2017年本试行)》的通知',河南省发展和改革委员会,2017-02-17,现行有效,地方政府规章及文件
'固始县人民政府办公室关于印发固始县财政产业扶贫贷款贴息资金管理办法的通知',信阳市固始县人民政府办公室,2017-02-14,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发郑州市“五大战略产业”集群招商活动实施方案的通知',郑州市人民政府办公厅,2017-02-13,现行有效,地方政府规章及文件
'新乡市人民政府办公室关于印发新乡市大数据产业发展规划(2016-2025年)的通知',新乡市人民政府办公室,2017-01-24,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于支持返乡下乡人员创业创新促进农村一二三产业融合发展的实施意见',河南省人民政府办公厅,2017-01-22,现行有效,地方政府规章及文件
'鲁山县人民政府关于印发鲁山县丝绸家纺企业入驻产业集聚区政策指南的通知',平顶山市鲁山县人民政府,2017-01-20,现行有效,地方政府规章及文件
