'长沙高新技术产业开发区条例',长沙市人民代表大会常务委员会,2014-12-01,现行有效,地方性法规及文件
'关于印发《“孝感市重点产业创新团队”建设实施办法》的通知',中共孝感市委组织部,2009-09-02,现行有效,团体规定
'省委组织部关于印发《“湖北省重点产业创新团队计划”实施办法》的通知',中共湖北省委组织部,2008-11-14,现行有效,团体规定
'省人民政府关于印发促进湖北高新技术产业开发区高质量发展若干措施的通知',湖北省人民政府,2020-12-31,现行有效,地方政府规章及文件
'省人民政府办公厅关于印发能源提升、新基建、冷链物流和应急储备设施、产业园区提升补短板强功能工程三年行动实施方案(2020—2022年)的通知',湖北省人民政府办公厅,2020-09-05,现行有效,地方政府规章及文件
'省人民政府办公厅关于促进全民健身和体育消费推动体育产业高质量发展的实施意见',湖北省人民政府办公厅,2020-06-28,现行有效,地方政府规章及文件
'省人民政府办公厅关于印发支持文化旅游产业恢复振兴若干措施的通知',湖北省人民政府办公厅,2020-04-27,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于印发长沙市智能汽车产业“火炬计划”和“头羊计划”的通知',长沙市人民政府办公厅,2020-03-27,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于促进长沙商贸流通产业高质量发展创建国际消费城市的实施意见',长沙市人民政府办公厅,2019-12-30,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于进一步促进人工智能产业发展的意见',长沙市人民政府办公厅,2019-06-20,现行有效,地方政府规章及文件
'省人民政府办公厅关于加快推进农业机械化和农机装备产业转型升级的实施意见',湖北省人民政府办公厅,2019-06-10,现行有效,地方政府规章及文件
'市人民政府办公室关于印发随州市产业投资引导基金管理暂办行法的通知',随州市人民政府办公室,2019-05-30,现行有效,地方政府规章及文件
'省农业农村厅、省扶贫办、省文化和旅游厅、省林业局关于印发湖北省产业精准扶贫规划(2019-2020年)的通知',湖北省农业农村厅;湖北省人民政府扶贫开发办公室;湖北省文化和旅游厅;湖北省林业局,2019-04-18,现行有效,地方政府规章及文件
'市人民政府办公厅关于印发武汉市大健康产业发展规划(2019—2035年)的通知',武汉市人民政府办公厅,2019-04-04,现行有效,地方政府规章及文件
'市人民政府办公室关于印发随州高新技术产业开发区区域性统一评价试点工作方案等5个工作方案的通知',随州市人民政府办公室,2019-03-11,现行有效,地方政府规章及文件
'省人民政府办公厅关于印发支持全省沿江化工产业转型升级实施意见的通知',湖北省人民政府办公厅,2018-12-17,现行有效,地方政府规章及文件
'市人民政府关于加快产业振兴全面构建现代化工业体系的实施意见',咸宁市人民政府,2018-11-30,现行有效,地方政府规章及文件
'省人民政府办公厅关于印发《湖北省推进中药产业振兴发展五年行动方案(2018-2022年)》的通知',湖北省人民政府办公厅,2018-11-29,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于加快区块链产业发展的意见',长沙市人民政府办公厅,2018-11-27,现行有效,地方政府规章及文件
'市人民政府办公室关于规范城区村(社区)集体经济组织产业用地管理的实施意见(试行)',仙桃市人民政府办公室,2018-11-06,已失效,地方政府规章及文件
'市人民政府关于印发随州市特色产业增长极建设生态文化旅游产业实施方案(2018-2020年)的通知',随州市人民政府,2018-09-25,现行有效,地方政府规章及文件
'省人民政府办公厅关于创建农业高新技术产业示范区的实施意见',湖北省人民政府办公厅,2018-09-22,现行有效,地方政府规章及文件
'省农业厅办公室关于印发湖北省推进猕猴桃产业高质量发展实施方案的通知',湖北省农业厅办公室,2018-08-03,现行有效,地方政府规章及文件
'市人民政府办公室关于印发鄂州市粮食产业经济发展三年行动计划(2018—2020年)的通知',鄂州市人民政府办公室,2018-08-01,现行有效,地方政府规章及文件
'恩施州人民政府办公室关于印发《恩施州高新技术产业园区管理委员会主要职责内设机构和人员编制规定》的通知',恩施土家族苗族自治州人民政府办公室,2018-07-18,现行有效,地方政府规章及文件
'市人民政府办公厅关于大力发展粮食产业经济的意见',武汉市人民政府办公厅,2018-07-09,现行有效,地方政府规章及文件
'恩施州人民政府办公室转发州政管办《关于恩施州推行产业项目承诺审批制改革实施意见(试行)》的通知',恩施土家族苗族自治州人民政府办公室,2018-07-06,现行有效,地方政府规章及文件
'市人民政府办公室关于加强咸宁市幕阜山绿色产业带生态环境保护的若干意见',咸宁市人民政府办公室,2018-05-28,现行有效,地方政府规章及文件
'湖北省财政厅、湖北省经济和信息化委员会关于印发《湖北省传统产业改造升级资金管理暂行办法》的通知',湖北省财政厅;湖北省经济和信息化委员会,2018-05-11,现行有效,地方政府规章及文件
'长沙市人民政府办公厅印发关于加快新一代人工智能产业发展推动国家智能制造中心建设若干政策的通知',长沙市人民政府办公厅,2018-04-14,现行有效,地方政府规章及文件
'市人民政府办公室关于加快推进咸宁市幕阜山绿色产业带绿色产业发展的指导意见',咸宁市人民政府办公室,2018-04-12,现行有效,地方政府规章及文件
'市人民政府关于印发随州高新技术产业开发区开展“证照分离”改革试点方案的通知',随州市人民政府,2018-04-04,现行有效,地方政府规章及文件
'荆州市人民政府关于加快发展人力资源服务产业的意见',荆州市人民政府,2018-03-26,现行有效,地方政府规章及文件
'市人民政府办公室关于印发黄石市产业精准扶贫规划的通知',黄石市人民政府办公室,2018-03-26,现行有效,地方政府规章及文件
'恩施州传统产业技术改造三年行动方案(2018—2020年)',恩施土家族苗族自治州人民政府办公室,2018-03-12,现行有效,地方政府规章及文件
'恩施州四大产业集群建设三年行动方案',恩施土家族苗族自治州人民政府办公室,2018-03-05,现行有效,地方政府规章及文件
'恩施州人民政府关于印发《恩施州高新技术产业园区招商引资八项政策清单(2018年)》的通知',恩施土家族苗族自治州人民政府,2018-03-05,现行有效,地方政府规章及文件
'省商务厅关于开展规模化集约化蚕桑示范基地建设推进茧丝绸产业提质增效的通知',湖北省商务厅,2018-02-07,现行有效,地方政府规章及文件
'省人民政府办公厅关于大力发展粮食产业经济的实施意见',湖北省人民政府办公厅,2018-02-06,现行有效,地方政府规章及文件
'市人民政府办公室关于进一步推进广告产业发展的实施意见',咸宁市人民政府办公室,2018-01-22,现行有效,地方政府规章及文件
'荆州市人民政府办公室关于做大做强小龙虾产业的意见',荆州市人民政府办公室,2018-01-19,现行有效,地方政府规章及文件
'恩施州人民政府办公室关于加强品牌建设推进建成全省特色产业增长极的意见',恩施土家族苗族自治州人民政府办公室,2018,现行有效,地方政府规章及文件
'省人民政府办公厅关于印发湖北省高新技术产业园区创新驱动发展综合评价办法的通知',湖北省人民政府办公厅,2017-12-20,现行有效,地方政府规章及文件
'省人民政府办公厅关于建立湖北省加快发展康复辅助器具产业联席会议制度的函',湖北省人民政府办公厅,2017-12-08,现行有效,地方政府规章及文件
'长沙市人民政府办公厅关于印发长沙市马栏山视频文创产业园系列支持政策的通知',长沙市人民政府办公厅,2017-12-07,现行有效,地方政府规章及文件
'省人民政府办公厅关于对口支援新疆博州和兵团第五师双河市产业发展的实施意见',湖北省人民政府办公厅,2017-11-24,现行有效,地方政府规章及文件
'关于印发《湖北省科技助力产业扶贫示范工程实施方案》的通知',湖北省科学技术厅,2017-10-27,现行有效,地方政府规章及文件
'省人民政府办公厅关于大力支持返乡下乡人员创业创新促进农村一二三产业融合发展的实施意见',湖北省人民政府办公厅,2017-09-17,现行有效,地方政府规章及文件
'荆州市人民政府办公室关于推进产业扶贫促进精准脱贫的实施意见',荆州市人民政府办公室,2017-09-04,现行有效,地方政府规章及文件
'荆州市人民政府关于加快文化产业发展的若干意见',荆州市人民政府,2017-09-01,现行有效,地方政府规章及文件
