'湖南省人民代表大会常务委员会关于批准《长沙高新技术产业开发区条例》的决定',湖南省人民代表大会常务委员会,2014-11-26,现行有效,地方性法规及文件
'中共常德市委关于大力实施开放强市产业立市战略的若干意见',中共常德市委,2017,现行有效,团体规定
'关于加快产业园区发展的意见',中共湘西土家族苗族自治州委,2011-06-20,现行有效,团体规定
'关于加快推进文化产业发展的决定',中共湘西土家族苗族自治州委,2010-07-15,现行有效,团体规定
'关于进一步加快凤凰文化旅游产业发展的意见',中共湘西土家族苗族自治州委,2010,现行有效,团体规定
'中共蓝山县委关于加快承接产业转移工作的决定',中共永州市蓝山县委,2008,现行有效,团体规定
'湖南省人民政府办公厅关于持续推动移动互联网产业高质量发展加快做强做大数字产业的若干意见',湖南省人民政府办公厅,2020-11-24,现行有效,地方政府规章及文件
'湖南省人民政府关于推进全省产业园区高质量发展的实施意见',湖南省人民政府,2020-07-14,现行有效,地方政府规章及文件
'湖南省人民政府关于印发《湘南湘西承接产业转移示范区发展规划》的通知',湖南省人民政府,2020-02-24,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《加快第五代移动通信产业发展的若干政策》的通知',湖南省人民政府办公厅,2020-02-21,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于政府性融资担保体系支持小微企业、“三农”和战略性新兴产业发展的实施意见',湖南省人民政府办公厅,2019-12-31,现行有效,地方政府规章及文件
'湖南省人民政府关于加快推进农业机械化和农机装备产业转型升级的实施意见',湖南省人民政府,2019-12-07,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省支持省级特色产业小镇发展的政策意见(2019—2021年)》的通知',湖南省人民政府办公厅,2019-11-01,现行有效,地方政府规章及文件
'资阳市人民政府办公室关于印发资阳市贯彻落实四川省人民政府关于推进“5+1”产业金融体系建设的意见分工方案的通知',资阳市人民政府办公室,2019-09-19,现行有效,地方政府规章及文件
'永州市人民政府办公室关于印发《永州市承接产业转移示范区发展规划(2019-2025年)》的通知',永州市人民政府办公室,2019-08-20,现行有效,地方政府规章及文件
'资阳市人民政府关于印发资阳市聚焦“5+n”产业加快工业转型升级推动高质量发展政策的通知',资阳市人民政府,2019-04-08,现行有效,地方政府规章及文件
'资阳市人民政府办公室关于优化制造业优势产业布局的指导意见',资阳市人民政府办公室,2019-04-08,现行有效,地方政府规章及文件
'资阳市人民政府办公室关于印发资阳市2019年度推进竹产业高质量发展工作方案的通知',资阳市人民政府办公室,2019-03-15,现行有效,地方政府规章及文件
'娄底市人民政府办公室关于加速推进产业园区改革和创新发展的实施意见',娄底市人民政府办公室,2019-01-16,现行有效,地方政府规章及文件
'资阳市人民政府办公室转发《四川省人民政府办公厅关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见》的通知',资阳市人民政府办公室,2019-01-02,现行有效,地方政府规章及文件
'常德市人民政府关于印发《促进军民融合产业发展的若干政策措施》的通知',常德市人民政府,2018-12-27,现行有效,地方政府规章及文件
'永州市人民政府关于深入实施农业“十百千”工程促进产业兴旺三年行动计划(2018—2020年)的意见',永州市人民政府,2018-12-14,现行有效,地方政府规章及文件
'湘潭市人民政府办公室关于加快发展粮食产业经济的实施意见',湘潭市人民政府办公室,2018-12-07,现行有效,地方政府规章及文件
'湘潭市人民政府办公室关于支持机器人产业发展的实施意见',湘潭市人民政府办公室,2018-12-03,现行有效,地方政府规章及文件
'湘潭市人民政府办公室关于印发《加快推进湘潭昭山文化产业园发展的若干政策措施》的通知',湘潭市人民政府办公室,2018-11-15,现行有效,地方政府规章及文件
'永州市人民政府办公室关于印发《永州市科技服务产业发展十条措施》的通知',永州市人民政府办公室,2018-11-12,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于加快推进粮食产业经济发展的实施意见',湖南省人民政府办公厅,2018-10-16,现行有效,地方政府规章及文件
'益阳市人民政府关于深入推进现代农业“131千亿级产业”工程促进产业兴旺的意见',益阳市人民政府,2018-10-12,现行有效,地方政府规章及文件
'常德市人民政府关于优化全市园区产业布局的指导意见',常德市人民政府,2018-09-28,现行有效,地方政府规章及文件
'关于促进株洲工业设计产业发展的实施意见',株洲市经济和信息化委员会;株洲市财政局,2018-08-21,现行有效,地方政府规章及文件
'湘潭市人民政府办公室关于印发《湘潭市招商引资重大产业项目投资企业承诺制试行办法》的通知',湘潭市人民政府办公室,2018-08-03,已失效,地方政府规章及文件
'娄底市人民政府关于印发《关于促进产业兴旺的实施方案》的通知',娄底市人民政府,2018-05-31,现行有效,地方政府规章及文件
'汨罗市人民政府办公室关于加快油茶产业发展的实施意见',汨罗市人民政府办公室,2018-05-25,现行有效,地方政府规章及文件
'湖南省人民政府关于深入推进农业“百千万”工程促进产业兴旺的意见',湖南省人民政府,2018-04-10,现行有效,地方政府规章及文件
'湘乡市人民政府关于印发《湘乡市促进产业发展奖励办法》的通知',湘乡市人民政府,2018-04-08,已失效,地方政府规章及文件
'湘潭市人民政府关于支持海泡石产业发展的意见',湘潭市人民政府,2018-03-26,现行有效,地方政府规章及文件
'湘乡市人民政府关于促进房地产业健康发展的若干意见',湘乡市人民政府,2018-03-20,现行有效,地方政府规章及文件
'浏阳市文化产业园管委会关于印发《2018年安全生产打非治违“春雷百日行动”工作方案》的通知',浏阳市文化产业园管理委员会,2018-03-12,已失效,地方政府规章及文件
'益阳市人民政府办公室关于印发《益阳市十大工业新兴优势产业链推进方案》的通知',益阳市人民政府办公室,2018-03-07,现行有效,地方政府规章及文件
