'中共甘肃省委办公厅、甘肃省人民政府办公厅关于印发甘肃省“十一五”文化产业发展规划的通知',中共甘肃省委办公厅,2006-07-20,现行有效,团体规定
'甘肃省人民政府关于促进乡村产业振兴的实施意见',甘肃省人民政府,2020-01-18,现行有效,地方政府规章及文件
'嘉峪关市人民政府印发嘉峪关市关于加快推进农业机械化和农机装备产业发展的实施意见的通知',嘉峪关市人民政府,2019-12-09,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于印发甘肃省绿色化信息化智能化改造推进传统产业转型升级实施方案(2019—2022年)的通知',甘肃省人民政府办公厅,2019-11-26,现行有效,地方政府规章及文件
'甘肃省人民政府办公厅关于大力促进全省文化旅游产业提质增效的意见',甘肃省人民政府办公厅,2019-11-12,现行有效,地方政府规章及文件
'甘肃省人民政府关于加快推进农业机械化和农机装备产业转型升级的实施意见',甘肃省人民政府,2019-09-17,现行有效,地方政府规章及文件
'平凉市人民政府印发关于进一步支持平凉红牛产业持续快速发展助推脱贫攻坚的若干政策措施的通知',平凉市人民政府,2019-06-04,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于支持贫困户发展“五小”产业的指导意见',平凉市人民政府办公室,2019-05-20,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市文化旅游产业专家库组建方案的通知',平凉市人民政府办公室,2019-02-21,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于加快发展健身休闲产业的实施意见',平凉市人民政府办公室,2018-12-21,现行有效,地方政府规章及文件
'庆阳市人民政府办公室关于加快发展健身休闲产业的实施意见',庆阳市人民政府办公室,2018-11-29,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市中医中药产业发展专项行动计划的通知',平凉市人民政府办公室,2018-11-22,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市中医中药产业发展专项行动方案的通知',天水市人民政府办公室,2018-11-21,现行有效,地方政府规章及文件
'天水市人民政府办公室关于印发天水市文化旅游产业发展专项行动方案的通知',天水市人民政府办公室,2018-11-21,现行有效,地方政府规章及文件
'平凉市人民政府办公室关于印发平凉市加快推进农业供给侧结构性改革大力发展粮食产业经济实施方案的通知',平凉市人民政府办公室,2018-11-20,现行有效,地方政府规章及文件
