'陕西省高新技术产业发展条例',陕西省人民代表大会常务委员会,2010-05-27,现行有效,地方性法规及文件
'陕西省工业和信息化厅、陕西省应急管理厅关于印发《陕西省安全产业示范园区创建指南(试行)》的通知',陕西省工业和信息化厅;陕西省应急管理厅,2020-05-14,现行有效,地方政府规章及文件
'陕西省工业和信息化厅、中国银行保险监督管理委员会陕西监管局关于进一步加大产业链协同复工复产金融服务支持力度的通知',陕西省工业和信息化厅;中国银行保险监督管理委员会陕西监管局,2020-04-26,现行有效,地方政府规章及文件
'延安市人民政府办公室关于印发《延安市加快恢复和促进文化旅游产业发展的十条措施》的通知',延安市人民政府办公室,2020-04-23,现行有效,地方政府规章及文件
'安康市人民政府办公室关于印发2020年富硒产业发展工作方案及考核办法的通知',安康市人民政府办公室,2020-03-26,现行有效,地方政府规章及文件
'陕西省大数据与云计算产业发展领导小组办公室关于在疫情期间推荐使用大数据和工业互联网解决方案的通知',陕西省工业和信息化厅;陕西省大数据与云计算产业发展领导小组办公室,2020-02-09,现行有效,地方政府规章及文件
'榆林市人民政府关于印发《榆林市化工产业投资指导目录(试行)》的通知',榆林市人民政府,2020-01-22,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于印发省级高新技术产业开发区认定管理办法的通知',陕西省人民政府办公厅,2019-12-18,现行有效,地方政府规章及文件
'安康市人民政府办公室关于印发《安康市产业发展基金管理办法》的通知',安康市人民政府办公室,2019-10-27,现行有效,地方政府规章及文件
'安康市人民政府办公室关于印发《安康市毛绒玩具文创产业出口退税周转资金池管理办法(试行)》的通知',安康市人民政府办公室,2019-09-09,现行有效,地方政府规章及文件
'榆林市人民政府办公室关于印发榆林市智能无人系统产业发展扶持政策(试行)的通知',榆林市人民政府办公室,2019-08-12,现行有效,地方政府规章及文件
'延安市人民政府办公室关于印发《延安市持续推进苹果产业后整理工作措施》的通知',延安市人民政府办公室,2019-06-24,现行有效,地方政府规章及文件
'陕西省人民政府关于加快农业机械化和农机装备产业转型升级的实施意见',陕西省人民政府,2019-06-03,现行有效,地方政府规章及文件
'延安市人民政府办公室关于加快应急产业发展的实施意见',延安市人民政府办公室,2019-04-16,现行有效,地方政府规章及文件
'陕西省发展和改革委员会、陕西省科学技术厅等部门关于印发《陕西省构建全链条产业技术创新体系推动产业创新发展若干措施》的通知',陕西省发展和改革委员会;陕西省科学技术厅;陕西省工业和信息化厅;陕西省教育厅,2019-03-12,现行有效,地方政府规章及文件
'铜川市人民政府办公室关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',铜川市人民政府办公室,2018-12-26,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',宝鸡市人民政府办公室,2018-11-13,现行有效,地方政府规章及文件
'安康市人民政府关于培育做强农业五大特色产业的实施意见',安康市人民政府,2018-11-06,现行有效,地方政府规章及文件
'铜川市人民政府关于中医药产业发展的实施意见',铜川市人民政府,2018-10-28,现行有效,地方政府规章及文件
'陕西省人民政府办公厅关于推进农业高新技术产业示范区建设发展的实施意见',陕西省人民政府办公厅,2018-10-16,现行有效,地方政府规章及文件
'铜川市人民政府办公室关于加快煤炭洗选产业发展的意见',铜川市人民政府办公室,2018-09-30,现行有效,地方政府规章及文件
'铜川市人民政府关于印发《铜川市促进数字经济产业发展优惠政策》的通知',铜川市人民政府,2018-09-14,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于支持合作市社会力量在商投资兴业参与产业扶贫的实施意见',商洛市人民政府办公室,2018-09-11,现行有效,地方政府规章及文件
'榆林市人民政府关于印发榆林市推进煤化工产业高端化发展若干政策(试行)的通知',榆林市人民政府,2018-09-10,现行有效,地方政府规章及文件
'延安市人民政府办公室关于印发《延安市加快县域工业集中区和产业园区建设行动计划》的通知',延安市人民政府办公室,2018-09-07,现行有效,地方政府规章及文件
'商洛市人民政府办公室关于加快县域工业集中区和产业园区建设的实施意见',商洛市人民政府办公室,2018-08-31,现行有效,地方政府规章及文件
'安康市人民政府办公室关于加快产业集群发展的实施意见',安康市人民政府办公室,2018-08-17,现行有效,地方政府规章及文件
'安康市人民政府办公室关于印发安康市促进生物医药产业健康快速发展的实施意见的通知',安康市人民政府办公室,2018-08-17,现行有效,地方政府规章及文件
'安康市人民政府办公室关于印发安康市加快县域工业集中区(产业园区)建设行动计划的通知',安康市人民政府办公室,2018-08-17,现行有效,地方政府规章及文件
'关于印发安康市支持发展医养结合养老服务产业若干政策措施的通知',安康市人民政府办公室,2018-08-12,现行有效,地方政府规章及文件
'安康市人民政府办公室关于印发安康市支持发展医养结合养老服务产业若干政策措施的通知',安康市人民政府办公室,2018-08-12,现行有效,地方政府规章及文件
'咸阳市人民政府办公室关于支持合作省(市)社会力量在咸阳投资兴业参与产业扶贫的实施意见',咸阳市人民政府办公室,2018-08-02,现行有效,地方政府规章及文件
'宝鸡市人民政府关于印发宝鸡市奶山羊产业发展规划(2018-2025年)的通知',宝鸡市人民政府,2018-07-19,现行有效,地方政府规章及文件
'安康市人民政府关于加快推进毛绒玩具文创产业发展打造安康新兴支柱产业的意见',安康市人民政府,2018-07-06,现行有效,地方政府规章及文件
'延安市人民政府关于加快产业园区建设的意见',延安市人民政府,2018-06-19,已失效,地方政府规章及文件
'汉中市人民政府关于支持我市汽车产业发展的实施意见',汉中市人民政府,2018-06-14,现行有效,地方政府规章及文件
'延安市人民政府办公室关于鼓励支持社会力量在延安投资兴业参与产业扶贫的实施意见',延安市人民政府办公室,2018-05-18,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发2018年全市机床工具产业行动计划的通知',宝鸡市人民政府办公室,2018-05-17,现行有效,地方政府规章及文件
'宝鸡市人民政府办公室关于印发2018年全市轨道交通产业行动计划的通知',宝鸡市人民政府办公室,2018-05-17,现行有效,地方政府规章及文件
'延安市人民政府关于印发《延安市2018-2020年苹果产业发展行动方案》的通知',延安市人民政府,2018-05-12,现行有效,地方政府规章及文件
'咸阳市人民政府办公室关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',咸阳市人民政府办公室,2018-04-25,现行有效,地方政府规章及文件
'榆林市人民政府办公室关于印发《榆林市加快区域物流产业发展行动计划及实施导引》的通知',榆林市人民政府办公室,2018-04-17,现行有效,地方政府规章及文件
'陇县人民政府关于印发陇县百亿生态乳都全产业链发展规划(2018-2022年)的通知',宝鸡市陇县人民政府,2018-03-02,现行有效,地方政府规章及文件
'宝鸡市人民政府关于印发宝鸡市汽车产业发展行动计划(2018—2022年)的通知',宝鸡市人民政府,2018-03-01,现行有效,地方政府规章及文件
