,车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱
0,大众 途观 2010款 2.0TSI 自动四驱菁英版,8.7,30.59,2011年,6.54万公里,2.0T,自动
1,大众 速腾 2014款 改款 1.4TSI 手动豪华型,6.7,16.69,2015年,5.2万公里,1.4T,手动
2,大众 迈腾 2012款 改款 1.8TSI 领先型,8.0,23.86,2012年,15.1万公里,1.8T,自动
3,大众 宝来 2012款 1.6L 自动时尚型,4.78,13.0,2012年,11.8万公里,1.6L,自动
4,大众 朗逸 2013款 改款经典 1.6L 自动风尚版,6.98,13.56,2017年,3.37万公里,1.6L,自动
5,大众 途观 2015款 1.8TSI 自动两驱舒适版,10.88,25.81,2015年,9.15万公里,1.8T,自动
6,大众 途观 2015款 1.8TSI 自动两驱豪华型,11.6,28.2,2015年,8.24万公里,1.8T,自动
7,大众POLO 2007款 1.6L Cross POLO AT,3.2,12.81,2009年,15.3万公里,1.6L,自动
8,大众 桑塔纳 2016款 1.4L 手动风尚版,4.66,9.22,2017年,1.58万公里,1.4L,手动
9,大众 尚酷 2015款 1.4TSI 风尚版(进口),13.2,24.18,2016年,4.75万公里,1.4T,自动
10,大众POLO 2016款 1.4L 自动风尚型,6.38,9.54,2017年,3.8万公里,1.4L,自动
11,大众 高尔夫 2014款 1.4TSI 自动旗舰型,8.45,19.85,2014年,13.07万公里,1.4T,自动
12,大众 尚酷 2009款 1.4TSI 风尚版(进口),7.6,32.35,2010年,11.8万公里,1.4T,自动
13,大众 朗境 2016款 230TSI DSG豪华版,10.8,18.66,2017年,4.26万公里,1.4T,自动
14,大众 凌渡 2018款 280TSI DSG舒适版,11.68,20.07,2018年,3万公里,1.4T,自动
15,大众 高尔夫 2018款 230TSI 自动豪华型,11.8,18.01,2018年,2.92万公里,1.4T,自动
16,大众POLO 2011款 1.6L 自动致尚版,4.68,12.15,2012年,6.71万公里,1.6L,自动
17,大众 捷达 2017款 1.5L 自动时尚型,5.78,10.38,2017年,4.98万公里,1.5L,自动
18,大众 途安 2015款 1.4T 自动舒适版5座,8.6,18.65,2016年,6.65万公里,1.4T,自动
19,大众 凌渡 2017款 280TSI DSG舒适版,10.88,19.96,2017年,4.4万公里,1.4T,自动
20,大众 高尔夫 2017款 230TSI 自动豪华百万辆纪念版,10.5,18.01,2017年,5.3万公里,1.4T,自动
21,大众 宝来 2014款 1.6L 自动舒适型,6.98,13.93,2015年,6.5万公里,1.6L,自动
22,大众 朗逸 2017款 1.6L 自动风尚版,8.3,12.91,2019年,3.2万公里,1.6L,自动
23,大众 高尔夫·嘉旅 2016款 230TSI 自动进取型,10.58,18.12,2017年,4.38万公里,1.4T,自动
24,大众POLO 2016款 1.6L 自动舒适型,7.19,11.28,2018年,1.48万公里,1.6L,自动
25,大众 速腾 2015款 1.6L 自动舒适型,7.78,16.37,2016年,5.22万公里,1.6L,自动
26,大众 宝来 2014款 1.6L 自动舒适型,5.7,13.93,2014年,12.79万公里,1.6L,自动
27,大众 迈腾 2013款 1.8TSI 豪华型,10.58,25.27,2014年,13.6万公里,1.8T,自动
28,大众 迈腾 2017款 330TSI DSG 领先型,14.78,23.87,2016年,7.6万公里,1.8T,自动
29,大众 高尔夫 2016款 230TSI 自动舒适型,9.88,16.81,2016年,3.3万公里,1.4T,自动
30,大众 帕萨特 2015款 1.8TSI DSG御尊版,11.8,26.03,2016年,8.8万公里,1.8T,自动
31,大众 宝来 2019款 280TSI DSG精英型,9.5,16.17,2018年,6万公里,1.4T,自动
32,大众 途锐 2011款 3.0TSI 高配型(进口),22.8,89.55,2012年,12.47万公里,3.0T,自动
33,大众 途观L 2018款 330TSI 自动两驱豪华版,18.5,28.2,2018年,4.27万公里,2.0T,自动
34,大众POLO 2016款 1.6L 自动舒适型,6.7,11.28,2017年,3.3万公里,1.6L,自动
35,大众 途锐 2019款 2.0TSI 锐翼版 国V(进口),45.8,67.28,2019年,9.3万公里,2.0T,自动
36,大众 捷达 2015款 1.4L 手动时尚型,4.35,8.99,2016年,6.09万公里,1.4L,手动
37,大众 迈特威 2012款 2.0TSI 四驱尊享版(进口),29.8,62.28,2015年,6.6万公里,2.0T,自动
38,大众 高尔夫 2019款 280TSI DSG舒适型 国V,11.99,16.63,2019年,2.23万公里,1.4T,自动
39,大众 凌渡 2018款 230TSI DSG风尚版,10.58,17.36,2018年,2.65万公里,1.4T,自动
40,大众 高尔夫 2019款 200TSI DSG舒适进取版 国VI,11.0,15.34,2019年,3.45万公里,1.2T,自动
41,大众 迈腾 2015款 2.0TSI 尊贵型,11.98,29.07,2015年,8.82万公里,2.0T,自动
42,大众Eos 2011款 2.0TSI(进口),14.98,49.84,2014年,8.5万公里,2.0T,自动
43,大众CC 2019款 380TSI 魅颜版 国V,21.8,30.37,2019年,2.45万公里,2.0T,自动
44,大众 途观L 2019款 330TSI 自动两驱全景舒适版 国VI,17.98,26.14,2019年,6.36万公里,2.0T,自动
45,大众 凌渡 2018款 230TSI DSG风尚版,11.98,17.36,2018年,6.99万公里,1.4T,自动
46,大众CC 2020款 330TSI 华颜版 国VI,20.48,26.79,2019年,3.63万公里,2.0T,自动
47,大众 甲壳虫 2018款 180TSI 沙丘越野版(进口),17.9,22.77,2018年,2.14万公里,1.2T,自动
48,大众 高尔夫 2017款 230TSI 自动豪华百万辆纪念版,10.3,18.01,2017年,5.5万公里,1.4T,自动
49,大众 迈腾 2012款 改款 1.8TSI 领先型,8.58,23.86,2012年,7.93万公里,1.8T,自动
50,大众 桑塔纳 2015款 浩纳 1.6L 自动风尚型,5.78,11.6,2015年,5.75万公里,1.6L,自动
51,大众POLO 2019款 Plus 1.5L 自动全景乐享版,8.29,11.93,2019年,0.72万公里,1.5L,自动
52,大众POLO 2016款 1.6L 自动舒适型,6.98,11.28,2016年,3.08万公里,1.6L,自动
53,大众 途观 2010款 1.8TSI 自动四驱菁英版,7.58,28.96,2011年,12万公里,1.8T,自动
54,大众 途观 2012款 1.8TSI 自动两驱菁英版,8.28,27.66,2012年,9.5万公里,1.8T,自动
55,大众 途观 2012款 1.8TSI 自动四驱菁英版,8.9,29.5,2012年,10.42万公里,1.8T,自动
56,大众 帕萨特 2015款 1.4TSI DSG尊荣版,10.68,22.66,2016年,7.82万公里,1.4T,自动
57,大众 途观L 2018款 改款 330TSI 自动两驱豪华版,17.98,28.2,2018年,1.86万公里,2.0T,自动
58,大众 途昂 2017款 380TSI 四驱豪华版,27.6,40.04,2018年,8.4万公里,2.0T,自动
59,大众 帕萨特 2019款 330TSI 精英版 国VI,17.68,23.65,2019年,2.62万公里,2.0T,自动
60,大众 朗逸 2013款 改款经典 1.6L 自动风尚版,6.58,13.56,2017年,10万公里,1.6L,自动
61,大众 Passat领驭 2011款 2.0L 手动尊享型,4.36,18.43,2012年,17万公里,2.0L,手动
62,大众 宝来 2011款 1.6L 自动时尚型,3.5,13.0,2011年,9.7万公里,1.6L,自动
63,大众 途观 2015款 1.8TSI 自动四驱豪华型,12.5,30.05,2015年,11.04万公里,1.8T,自动
64,大众 途昂 2019款 380TSI 四驱舒适版 国V,27.1,34.83,2019年,3.55万公里,2.0T,自动
65,大众 迈腾 2017款 380TSI DSG 豪华型,16.9,27.13,2017年,8万公里,2.0T,自动
66,大众 帕萨特 2017款 330TSI DSG尊荣版,15.5,24.2,2018年,5.4万公里,1.8T,自动
67,大众 宝来 2014款 1.6L 自动舒适型,5.68,13.93,2014年,4.3万公里,1.6L,自动
68,大众 高尔夫 2019款 280TSI DSG舒适型 国V,12.5,16.63,2019年,2.39万公里,1.4T,自动
69,大众 朗逸 2018款 两厢 280TSI DSG豪华版 国V,11.5,17.57,2018年,4.22万公里,1.4T,自动
70,大众CC 2011款 2.0TSI 至尊型,9.98,32.65,2011年,8.28万公里,2.0T,自动
71,大众 帕萨特 2011款 1.8TSI DSG御尊版,7.18,26.03,2011年,18.1万公里,1.8T,自动
72,大众 迈腾 2011款 2.0TSI DSG豪华型,4.98,28.63,2010年,16.5万公里,2.0T,自动
73,大众POLO 2016款 1.4L 手动风尚型,4.6,8.24,2017年,7.39万公里,1.4L,手动
74,大众 途观 2012款 2.0TSI 自动四驱旗舰版,10.4,33.63,2013年,8.55万公里,2.0T,自动
75,大众 迈腾 2013款 2.0TSI 尊贵型,10.98,29.07,2014年,4.72万公里,2.0T,自动
76,大众 途观 2015款 1.8TSI 自动两驱豪华型,10.88,28.2,2015年,7.83万公里,1.8T,自动
77,大众 途昂 2017款 380TSI 四驱旗舰版,28.9,46.56,2017年,9.11万公里,2.0T,自动
78,大众 捷达 2010款 1.6L 伙伴,3.4,8.23,2012年,4.68万公里,1.6L,手动
79,大众 宝来 2008款 1.6L 手动时尚型,2.75,11.7,2009年,8.57万公里,1.6L,手动
80,大众 宝来 2013款 1.6L 手动时尚型,5.18,11.7,2015年,9万公里,1.6L,手动
81,大众 途锐 2011款 3.0TSI 舒适型(进口),23.88,85.75,2013年,9.3万公里,3.0T,自动
82,大众 途观 2016款 300TSI 自动两驱豪华版,12.78,28.2,2016年,6.1万公里,1.8T,自动
