车型_品牌,车主报价预测
起亚K5 2012款 2.0L 自动DLX,7.318818092215869
奥迪Q2L 2018款 35TFSI 时尚致雅型 国VI,18.4045049161168
大众 速腾 2015款 1.6L 自动舒适型,8.452810548289886
福特 福克斯 2012款 三厢 1.6L 自动舒适型,6.592172529166322
大众CC 2020款 330TSI 华颜版 国VI,19.789637553777432
大众 高尔夫 2016款 230TSI 自动豪华型,10.683370531149485
大众 帕萨特 2017款 330TSI DSG尊荣版,15.589403725371348
大众 途观 2012款 1.8TSI 自动两驱菁英版,9.472854632388541
奔驰C级 2016款 C 200 L 运动型,22.911841867580783
奥迪A4L 2019款 40 TFSI 进取型 国VI,25.56045132187832
大众 捷达 2012款 1.6L 典藏版,2.9067806256266904
现代 朗动 2016款 1.6L 自动智能型,7.5190792810184846
现代 名图 2014款 1.8L 自动舒适型GL,6.943591280804288
日产 逍客 2012款 2.0XV 雷 CVT 2WD,6.840533304438415
别克GL6 2019款 18T 6座互联豪华型 国VI,13.237336736743
奥迪Q3 2018款 30周年年型 35 TFSI 时尚型,19.173565004086548
雪佛兰 科鲁兹 2013款 1.6L SE MT,3.4015905825721906
大众 迈腾 2012款 改款 2.0TSI 尊贵型,10.568313045164157
大众 捷达 2013款 1.6L 手动舒适型,4.096014853241981
雪佛兰 科鲁兹 2013款 1.8L SE AT,4.494771355373156
现代 名图 2014款 1.8L 自动舒适型GL,7.276019042620375
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,16.08579978328913
丰田 汉兰达 2018款 2.0T 四驱豪华版 7座 国V,23.973962730056346
日产 蓝鸟 2016款 1.6L CVT智酷版,8.098816683107891
宝马3系 2018款 320i M运动套装,26.881685801037687
吉利 嘉际 2021款 1.8TD DCT舒适型,9.965131105617957
日产 骐达 2011款 1.6L CVT舒适型,4.3067679442202325
马自达 阿特兹 2014款 2.0L 蓝天豪华版,9.54727906008274
大众 捷达 2013款 1.6L 自动舒适型,4.816094037353566
大众 捷达 2019款 梦想版 1.4L 手动时尚型,5.678324178948001
别克 昂科威 2016款 20T 四驱豪华型,13.053316797125605
哈弗H6 2012款 2.4L 自动两驱精英型,4.641432460321451
大众CC 2010款 2.0TSI 尊贵型,8.846686509706501
哈弗H6 2013款 升级版 1.5T 手动两驱都市型,5.162274854399429
别克 君越 2013款 2.4L SIDI领先舒适型,11.301427406228257
别克GL6 2018款 18T 6座豪华型,11.269026185543213
起亚K5 2016款 2.0L 自动LUX,10.312990809827783
大众 捷达 2015款 质惠版 1.6L 自动时尚型,4.843730803500174
大众CC 2015款 2.0TSI 至尊型,14.917571172237377
奥迪Q3 2013款 35 TFSI quattro 舒适型,14.034486428270897
大众 帕萨特 2016款 330TSI DSG尊荣版,13.25868935625515
大众 高尔夫 2018款 1.6L 自动舒适型,10.433649347355995
本田 雅阁 2013款 2.4L LX,8.934289967874985
丰田 汉兰达 2015款 2.0T 四驱精英版 7座,13.512473283764189
宝马5系 2014款 520Li 典雅型,25.9880266601807
大众 高尔夫 2019款 280TSI DSG舒适型 国V,11.743950097269726
大众 途观 2013款 1.8TSI 自动两驱豪华型,9.74817106866324
吉利 经典帝豪 2013款 三厢 1.8L 手动尊贵型,3.0713147815168096
奥迪Q5 2016款 40 TFSI 技术型,23.430661349279315
奥迪A4L 2012款 2.0 TFSI 自动舒适型,12.050652698614698
大众 速腾 2013款 2.0TSI GLI,11.91977535433703
大众 高尔夫 2015款 1.4TSI 自动舒适型,9.371249909079738
大众 捷达 2017款 1.5L 手动时尚型,5.590564467998827
大众POLO 2016款 1.6L 自动舒适型,7.444391851671275
吉利 金刚 2016款 1.5L 手动精英型,3.5749815718396993
现代ix25 2015款 1.6L 自动两驱尊贵型DLX,8.497348474367397
奥迪A5 2013款 Coupe 40 TFSI(进口),22.814855756752046
大众 途观 2012款 1.8TSI 自动两驱风尚版,8.711907573902113
大众POLO 2019款 Plus 1.5L 自动全景乐享版,9.021984463921026
宝马3系 2014款 320i 时尚型,15.256496446930154
大众 捷达 2017款 1.5L 自动时尚型,6.4280414112947355
起亚 焕驰 2017款 1.4L 自动智享版Value,5.147629288405991
大众 捷达 2017款 1.4L 手动时尚型,5.3401605024346095
大众 途观 2016款 300TSI 自动四驱风尚视野版,13.97790465120721
日产 轩逸 2012款 1.6XE CVT舒适版,4.89335578956479
大众 迈腾 2012款 改款 2.0TSI 豪华型,9.915892537940861
马自达 阿特兹 2014款 2.0L 蓝天豪华版,9.54727906008274
大众 速腾 2014款 改款 1.6L 自动舒适型,7.434712393699147
日产 骐达 2008款 1.6L 自动智能型,4.119434659042158
雪佛兰 迈锐宝 2017款 1.5T 自动舒适版,9.243608037146814
奥迪A6L 2019款 45 TFSI 臻选动感型,36.89095731874108
本田 冠道 2019款 240TURBO 两驱尊享版,22.215142861397005
雪佛兰 创酷 2016款 1.4T 自动两驱舒适天窗版,6.805213209754387
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,24.02837034896322
大众 捷达 2015款 1.4L 手动舒适型,4.763690525975204
大众CC 2016款 300TSI 25周年纪念版,18.441210676402708
大众 速腾 2017款 1.6L 自动舒适型,9.043865842289168
福特 福睿斯 2017款 幸福版 1.5L 手动时尚型,7.48212003203984
大众 帕萨特 2016款 330TSI DSG尊荣版,13.373060309160929
福特 福克斯 2013款 两厢经典 1.8L 手动基本型,4.512769154409858
吉利 博越 2020款 1.8TD DCT两驱智联型4G互联版,9.357518722830559
现代 朗动 2015款 1.6L 自动领先型,6.748858979233445
哈弗H1 2016款 改款 蓝标 1.5L AMT豪华型,5.067993308557721
大众 高尔夫 2017款 230TSI 自动豪华百万辆纪念版,11.691049535507986
丰田 凯美瑞 2018款 2.5G 豪华版,16.76231144452588
