车型_品牌,车主报价预测
起亚K5 2012款 2.0L 自动DLX,7.1357484
奥迪Q2L 2018款 35TFSI 时尚致雅型 国VI,18.526772
大众 速腾 2015款 1.6L 自动舒适型,8.252373
福特 福克斯 2012款 三厢 1.6L 自动舒适型,6.5066724
大众CC 2020款 330TSI 华颜版 国VI,20.458038
大众 高尔夫 2016款 230TSI 自动豪华型,10.7734995
大众 帕萨特 2017款 330TSI DSG尊荣版,17.580753
大众 途观 2012款 1.8TSI 自动两驱菁英版,9.468433
奔驰C级 2016款 C 200 L 运动型,19.962877
奥迪A4L 2019款 40 TFSI 进取型 国VI,24.85695
大众 捷达 2012款 1.6L 典藏版,2.787758
现代 朗动 2016款 1.6L 自动智能型,7.854247
现代 名图 2014款 1.8L 自动舒适型GL,7.231533
日产 逍客 2012款 2.0XV 雷 CVT 2WD,6.5936503
别克GL6 2019款 18T 6座互联豪华型 国VI,13.394024
奥迪Q3 2018款 30周年年型 35 TFSI 时尚型,19.465237
雪佛兰 科鲁兹 2013款 1.6L SE MT,3.5669258
大众 迈腾 2012款 改款 2.0TSI 尊贵型,10.570453
大众 捷达 2013款 1.6L 手动舒适型,4.1303787
雪佛兰 科鲁兹 2013款 1.8L SE AT,6.4336863
现代 名图 2014款 1.8L 自动舒适型GL,7.484191
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,16.801777
丰田 汉兰达 2018款 2.0T 四驱豪华版 7座 国V,25.295033
日产 蓝鸟 2016款 1.6L CVT智酷版,8.440715
宝马3系 2018款 320i M运动套装,26.390402
吉利 嘉际 2021款 1.8TD DCT舒适型,9.979068
日产 骐达 2011款 1.6L CVT舒适型,4.1046424
马自达 阿特兹 2014款 2.0L 蓝天豪华版,9.99533
大众 捷达 2013款 1.6L 自动舒适型,4.3812375
大众 捷达 2019款 梦想版 1.4L 手动时尚型,5.3447967
别克 昂科威 2016款 20T 四驱豪华型,12.462919
哈弗H6 2012款 2.4L 自动两驱精英型,4.9935207
大众CC 2010款 2.0TSI 尊贵型,8.418668
哈弗H6 2013款 升级版 1.5T 手动两驱都市型,4.684328
别克 君越 2013款 2.4L SIDI领先舒适型,12.152549
别克GL6 2018款 18T 6座豪华型,11.189618
起亚K5 2016款 2.0L 自动LUX,10.434764
大众 捷达 2015款 质惠版 1.6L 自动时尚型,4.805205
大众CC 2015款 2.0TSI 至尊型,14.270122
奥迪Q3 2013款 35 TFSI quattro 舒适型,13.864159
大众 帕萨特 2016款 330TSI DSG尊荣版,12.961847
大众 高尔夫 2018款 1.6L 自动舒适型,9.981924
本田 雅阁 2013款 2.4L LX,9.356818
丰田 汉兰达 2015款 2.0T 四驱精英版 7座,15.025869
宝马5系 2014款 520Li 典雅型,27.156548
大众 高尔夫 2019款 280TSI DSG舒适型 国V,12.068928
大众 途观 2013款 1.8TSI 自动两驱豪华型,9.923608
