车型_品牌,车主报价预测
起亚K5 2012款 2.0L 自动DLX,7.2284027863409825
奥迪Q2L 2018款 35TFSI 时尚致雅型 国VI,18.464890300280505
大众 速腾 2015款 1.6L 自动舒适型,8.353817502384137
福特 福克斯 2012款 三厢 1.6L 自动舒适型,6.549945200180252
大众CC 2020款 330TSI 华颜版 国VI,20.11975076821033
大众 高尔夫 2016款 230TSI 自动豪华型,10.727883674474374
大众 帕萨特 2017款 330TSI DSG尊荣版,16.57290119990087
大众 途观 2012款 1.8TSI 自动两驱菁英版,9.470671172281046
奔驰C级 2016款 C 200 L 运动型,21.455392636696
奥迪A4L 2019款 40 TFSI 进取型 国VI,25.21300313785698
大众 捷达 2012款 1.6L 典藏版,2.8479972069303012
现代 朗动 2016款 1.6L 自动智能型,7.684613518181268
现代 名图 2014款 1.8L 自动舒适型GL,7.085801400962394
日产 逍客 2012款 2.0XV 雷 CVT 2WD,6.718601384987313
别克GL6 2019款 18T 6座互联豪华型 国VI,13.314721930705355
奥迪Q3 2018款 30周年年型 35 TFSI 时尚型,19.31761745850923
雪佛兰 科鲁兹 2013款 1.6L SE MT,3.483247105314734
大众 迈腾 2012款 改款 2.0TSI 尊贵型,10.569369637921596
大众 捷达 2013款 1.6L 手动舒适型,4.112986628398854
雪佛兰 科鲁兹 2013款 1.8L SE AT,5.452372231812674
现代 名图 2014款 1.8L 自动舒适型GL,7.378832075140328
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,16.439410080826097
丰田 汉兰达 2018款 2.0T 四驱豪华版 7座 国V,24.626419441101927
日产 蓝鸟 2016款 1.6L CVT智酷版,8.267674900897532
宝马3系 2018款 320i M运动套装,26.639047805719997
吉利 嘉际 2021款 1.8TD DCT舒适型,9.972014091149438
日产 骐达 2011款 1.6L CVT舒适型,4.206941122336141
马自达 阿特兹 2014款 2.0L 蓝天豪华版,9.768564742259304
大众 捷达 2013款 1.6L 自动舒适型,4.601324921653875
大众 捷达 2019款 梦想版 1.4L 手动时尚型,5.513599840642778
别克 昂科威 2016款 20T 四驱豪华型,12.761728258831544
哈弗H6 2012款 2.4L 自动两驱精英型,4.81532356465204
大众CC 2010款 2.0TSI 尊贵型,8.635294472340462
哈弗H6 2013款 升级版 1.5T 手动两驱都市型,4.926224050952808
别克 君越 2013款 2.4L SIDI领先舒适型,11.72178332404672
别克GL6 2018款 18T 6座豪华型,11.229807702183807
起亚K5 2016款 2.0L 自动LUX,10.373132526930618
大众 捷达 2015款 质惠版 1.6L 自动时尚型,4.8247034210420985
大众CC 2015款 2.0TSI 至尊型,14.597805380075496
奥迪Q3 2013款 35 TFSI quattro 舒适型,13.950363874523973
大众 帕萨特 2016款 330TSI DSG尊荣版,13.112083625419157
大众 高尔夫 2018款 1.6L 自动舒适型,10.21054916889695
本田 雅阁 2013款 2.4L LX,9.142970272911823
丰田 汉兰达 2015款 2.0T 四驱精英版 7座,14.259916634035164
宝马5系 2014款 520Li 典雅型,26.565141901751456
大众 高尔夫 2019款 280TSI DSG舒适型 国V,11.904451835859753
大众 途观 2013款 1.8TSI 自动两驱豪华型,9.834816402074482
吉利 经典帝豪 2013款 三厢 1.8L 手动尊贵型,3.0672981073326824
奥迪Q5 2016款 40 TFSI 技术型,23.008470838569643
奥迪A4L 2012款 2.0 TFSI 自动舒适型,11.87467296248634
大众 速腾 2013款 2.0TSI GLI,12.027240717143302
大众 高尔夫 2015款 1.4TSI 自动舒适型,9.367376673388652
大众 捷达 2017款 1.5L 手动时尚型,5.518133767015724
大众POLO 2016款 1.6L 自动舒适型,7.448965245642304
吉利 金刚 2016款 1.5L 手动精英型,4.229577231047362
现代ix25 2015款 1.6L 自动两驱尊贵型DLX,8.41852981691011
奥迪A5 2013款 Coupe 40 TFSI(进口),22.74100232587133
大众 途观 2012款 1.8TSI 自动两驱风尚版,8.699521396341034
大众POLO 2019款 Plus 1.5L 自动全景乐享版,9.095541640239265
宝马3系 2014款 320i 时尚型,15.216625248794637
大众 捷达 2017款 1.5L 自动时尚型,6.415878958304752
起亚 焕驰 2017款 1.4L 自动智享版Value,5.315057189694993
大众 捷达 2017款 1.4L 手动时尚型,5.405578121220735
大众 途观 2016款 300TSI 自动四驱风尚视野版,13.904512212533312
日产 轩逸 2012款 1.6XE CVT舒适版,4.7355222200060885
大众 迈腾 2012款 改款 2.0TSI 豪华型,9.855412709197049
马自达 阿特兹 2014款 2.0L 蓝天豪华版,9.768564742259304
大众 速腾 2014款 改款 1.6L 自动舒适型,7.405412714495911
日产 骐达 2008款 1.6L 自动智能型,4.198345383775187
雪佛兰 迈锐宝 2017款 1.5T 自动舒适版,9.485648931446786
奥迪A6L 2019款 45 TFSI 臻选动感型,37.03456416968329
本田 冠道 2019款 240TURBO 两驱尊享版,21.978355013839085
雪佛兰 创酷 2016款 1.4T 自动两驱舒适天窗版,6.763311423869842
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,24.221657293642288
大众 捷达 2015款 1.4L 手动舒适型,4.853613695681348
大众CC 2016款 300TSI 25周年纪念版,17.760170517530256
大众 速腾 2017款 1.6L 自动舒适型,8.994919414240705
福特 福睿斯 2017款 幸福版 1.5L 手动时尚型,7.481326130765758
大众 帕萨特 2016款 330TSI DSG尊荣版,13.28170144162684
福特 福克斯 2013款 两厢经典 1.8L 手动基本型,4.381186817477465
吉利 博越 2020款 1.8TD DCT两驱智联型4G互联版,9.285892697665668
现代 朗动 2015款 1.6L 自动领先型,6.763522239909623
哈弗H1 2016款 改款 蓝标 1.5L AMT豪华型,4.916762198144807
大众 高尔夫 2017款 230TSI 自动豪华百万辆纪念版,11.706830174528335
丰田 凯美瑞 2018款 2.5G 豪华版,16.1848436758225
福特 福睿斯 2017款 改款 1.5L 手动舒适型,5.825179508098428
大众 迈腾 2017款 330TSI DSG 豪华型,15.661020665881722
大众 帕萨特 2019款 330TSI 精英版 国VI,18.214701798264457
现代 瑞纳 2010款 三厢 1.4L 手动舒适型GS,2.439900148982244
马自达6 2013款 2.0L 自动时尚型,6.746673068545093
吉利 博越 2018款 1.8TD 自动两驱智联型4G互联版,8.812136926512789
哈弗F7 2019款 1.5T 两驱i潮 国V,10.084668978389836
吉利 缤越 2019款 运动款 260T DCT游侠 国V,8.338148327492348
大众 途观 2013款 1.8TSI 自动两驱舒适版,10.076764905900308
日产 逍客 2012款 2.0XV 雷 CVT 2WD,6.868302208527261
大众 速腾 2018款 1.6L 自动舒适型,10.78849673588242
大众 速腾 2014款 1.4TSI 自动时尚型,7.573265093717345
丰田 汉兰达 2015款 3.5L 四驱精英版 7座,17.979509450025184
大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,11.94104847344068
大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,10.00386595941253
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,10.746528034881509
大众 宝来 2018款 1.5L 自动时尚型,8.19338169120378
奥迪A4L 2016款 35 TFSI 典藏版 自动标准型,19.123872880837204
丰田 凯美瑞 2009款 200G 豪华版,6.511225182147525
现代 菲斯塔 2019款 280TGDi 运动版 国VI,11.786271152372802
雪佛兰 科鲁兹 2013款 1.6L SL MT,3.752217264101804
马自达 昂克赛拉 2017款 三厢 1.5L 手动舒适型 国V,7.581759915469652
吉利 远景 2018款 1.5L 自动幸福版,5.087250475460781
宝马5系 2014款 525Li 领先型,25.69832565507184
