车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱,车龄
起亚K5 2012款 2.0L 自动DLX,7.28,20.49,2013,9.4,2.0L,0,8
奥迪Q2L 2018款 35TFSI 时尚致雅型 国VI,17.98,25.68,2019,1.13,1.4T,0,2
大众 速腾 2015款 1.6L 自动舒适型,7.76,16.37,2016,5.44,1.6L,0,5
福特 福克斯 2012款 三厢 1.6L 自动舒适型,5.17,14.21,2015,5.9,1.6L,0,6
大众CC 2020款 330TSI 华颜版 国VI,19.68,26.79,2019,1.49,2.0T,0,2
大众 高尔夫 2016款 230TSI 自动豪华型,10.38,18.01,2017,8.16,1.4T,0,4
大众 帕萨特 2017款 330TSI DSG尊荣版,14.28,24.2,2018,11.08,1.8T,0,3
大众 途观 2012款 1.8TSI 自动两驱菁英版,9.3,27.66,2013,8.7,1.8T,0,8
奔驰C级 2016款 C 200 L 运动型,23.68,38.4,2016,10.0,2.0T,0,5
奥迪A4L 2019款 40 TFSI 进取型 国VI,25.5,32.65,2019,3.08,2.0T,0,2
大众 捷达 2012款 1.6L 典藏版,2.88,8.77,2013,11.9,1.6L,1,8
现代 朗动 2016款 1.6L 自动智能型,7.6,12.57,2018,5.6,1.6L,0,3
现代 名图 2014款 1.8L 自动舒适型GL,7.6,15.17,2014,5.5,1.8L,0,7
日产 逍客 2012款 2.0XV 雷 CVT 2WD,6.62,19.63,2013,7.61,2.0L,0,8
别克GL6 2019款 18T 6座互联豪华型 国VI,11.38,16.92,2020,1.46,1.3T,0,1
奥迪Q3 2018款 30周年年型 35 TFSI 时尚型,19.1,31.0,2018,4.07,2.0T,0,3
雪佛兰 科鲁兹 2013款 1.6L SE MT,2.98,13.01,2012,12.6,1.6L,1,9
大众 迈腾 2012款 改款 2.0TSI 尊贵型,10.3,29.07,2013,8.58,2.0T,0,8
大众 捷达 2013款 1.6L 手动舒适型,3.98,10.67,2014,10.47,1.6L,1,7
雪佛兰 科鲁兹 2013款 1.8L SE AT,3.8,14.86,2013,16.0,1.8L,0,8
现代 名图 2014款 1.8L 自动舒适型GL,7.8,15.17,2015,6.0,1.8L,0,6
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,15.58,21.63,2019,1.19,2.0L,0,2
丰田 汉兰达 2018款 2.0T 四驱豪华版 7座 国V,29.18,32.54,2018,2.47,2.0T,0,3
日产 蓝鸟 2016款 1.6L CVT智酷版,8.16,14.32,2017,7.92,1.6L,0,4
宝马3系 2018款 320i M运动套装,25.98,34.39,2019,3.08,2.0T,0,2
吉利 嘉际 2021款 1.8TD DCT舒适型,10.28,13.0,2020,1.3,1.8T,0,1
日产 骐达 2011款 1.6L CVT舒适型,4.9,12.52,2011,5.69,1.6L,0,10
马自达 阿特兹 2014款 2.0L 蓝天豪华版,11.38,20.49,2015,11.0,2.0L,0,6
大众 捷达 2013款 1.6L 自动舒适型,4.68,11.76,2014,7.62,1.6L,0,7
大众 捷达 2019款 梦想版 1.4L 手动时尚型,5.68,8.66,2019,2.83,1.4L,1,2
别克 昂科威 2016款 20T 四驱豪华型,12.58,28.21,2016,8.63,1.5T,0,5
哈弗H6 2012款 2.4L 自动两驱精英型,4.2,13.55,2012,12.9,2.4L,0,9
大众CC 2010款 2.0TSI 尊贵型,8.88,29.07,2010,11.3,2.0T,0,11
哈弗H6 2013款 升级版 1.5T 手动两驱都市型,4.3,11.48,2014,6.0,1.5T,1,7
别克 君越 2013款 2.4L SIDI领先舒适型,10.8,25.61,2015,5.0,2.4L,0,6
别克GL6 2018款 18T 6座豪华型,10.12,16.92,2018,4.69,1.3T,0,3
起亚K5 2016款 2.0L 自动LUX,9.98,19.08,2017,3.33,2.0L,0,4
大众 捷达 2015款 质惠版 1.6L 自动时尚型,4.88,10.38,2015,9.1,1.6L,0,6
大众CC 2015款 2.0TSI 至尊型,16.58,32.98,2015,9.26,2.0T,0,6
奥迪Q3 2013款 35 TFSI quattro 舒适型,13.08,38.73,2013,9.52,2.0T,0,8
大众 帕萨特 2016款 330TSI DSG尊荣版,13.9,24.2,2016,8.69,1.8T,0,5
大众 高尔夫 2018款 1.6L 自动舒适型,10.6,15.73,2018,6.0,1.6L,0,3
本田 雅阁 2013款 2.4L LX,10.0,23.86,2013,7.3,2.4L,0,8
丰田 汉兰达 2015款 2.0T 四驱精英版 7座,21.0,28.09,2015,10.92,2.0T,0,6
宝马5系 2014款 520Li 典雅型,27.82,47.28,2016,7.08,2.0T,0,5
大众 高尔夫 2019款 280TSI DSG舒适型 国V,12.48,16.63,2019,3.59,1.4T,0,2
大众 途观 2013款 1.8TSI 自动两驱豪华型,9.79,28.2,2013,6.94,1.8T,0,8
吉利 经典帝豪 2013款 三厢 1.8L 手动尊贵型,2.6,10.18,2013,7.62,1.8L,1,8
奥迪Q5 2016款 40 TFSI 技术型,21.38,46.41,2016,18.8,2.0T,0,5
奥迪A4L 2012款 2.0 TFSI 自动舒适型,11.9,35.81,2012,10.0,2.0T,0,9
大众 速腾 2013款 2.0TSI GLI,11.58,24.51,2016,5.4,2.0T,0,5
大众 高尔夫 2015款 1.4TSI 自动舒适型,8.99,16.81,2016,6.55,1.4T,0,5
大众 捷达 2017款 1.5L 手动时尚型,5.5,9.29,2018,6.5,1.5L,1,3
大众POLO 2016款 1.6L 自动舒适型,7.68,11.28,2018,2.46,1.6L,0,3
吉利 金刚 2016款 1.5L 手动精英型,3.18,5.42,2017,8.86,1.5L,1,4
现代ix25 2015款 1.6L 自动两驱尊贵型DLX,7.58,17.02,2015,6.88,1.6L,0,6
奥迪A5 2013款 Coupe 40 TFSI(进口),23.8,56.99,2014,4.85,2.0T,0,7
大众 途观 2012款 1.8TSI 自动两驱风尚版,8.8,25.38,2012,10.69,1.8T,0,9
大众POLO 2019款 Plus 1.5L 自动全景乐享版,9.4,11.93,2020,1.05,1.5L,0,1
宝马3系 2014款 320i 时尚型,15.98,37.23,2014,13.0,2.0T,0,7
大众 捷达 2017款 1.5L 自动时尚型,6.3,10.38,2018,2.8,1.5L,0,3
起亚 焕驰 2017款 1.4L 自动智享版Value,5.5,7.15,2018,4.56,1.4L,0,3
大众 捷达 2017款 1.4L 手动时尚型,5.2,8.67,2019,2.2,1.4L,1,2
大众 途观 2016款 300TSI 自动四驱风尚视野版,14.38,26.68,2016,7.0,1.8T,0,5
日产 轩逸 2012款 1.6XE CVT舒适版,5.58,14.0,2012,7.12,1.6L,0,9
大众 迈腾 2012款 改款 2.0TSI 豪华型,9.5,26.9,2013,11.17,2.0T,0,8
马自达 阿特兹 2014款 2.0L 蓝天豪华版,11.38,20.49,2015,11.0,2.0L,0,6
大众 速腾 2014款 改款 1.6L 自动舒适型,6.8,16.37,2015,8.47,1.6L,0,6
日产 骐达 2008款 1.6L 自动智能型,4.38,13.76,2011,7.97,1.6L,0,10
雪佛兰 迈锐宝 2017款 1.5T 自动舒适版,8.58,17.9,2017,7.0,1.5T,0,4
奥迪A6L 2019款 45 TFSI 臻选动感型,36.38,47.09,2019,2.5,2.0T,0,2
本田 冠道 2019款 240TURBO 两驱尊享版,23.98,28.63,2019,2.8,1.5T,0,2
雪佛兰 创酷 2016款 1.4T 自动两驱舒适天窗版,6.38,13.23,2016,7.15,1.4T,0,5
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,24.0,37.22,2018,5.4,2.0T,0,3
大众 捷达 2015款 1.4L 手动舒适型,4.48,10.07,2016,7.86,1.4L,1,5
