,车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱,车龄
0,大众 途观 2010款 2.0TSI 自动四驱菁英版,8.7,30.59,2011,6.54,2.0T,0,10
1,大众 速腾 2014款 改款 1.4TSI 手动豪华型,6.7,16.69,2015,5.2,1.4T,1,6
2,大众 迈腾 2012款 改款 1.8TSI 领先型,8.0,23.86,2012,15.1,1.8T,0,9
3,大众 宝来 2012款 1.6L 自动时尚型,4.78,13.0,2012,11.8,1.6L,0,9
4,大众 朗逸 2013款 改款经典 1.6L 自动风尚版,6.98,13.56,2017,3.37,1.6L,0,4
5,大众 途观 2015款 1.8TSI 自动两驱舒适版,10.88,25.81,2015,9.15,1.8T,0,6
6,大众 途观 2015款 1.8TSI 自动两驱豪华型,11.6,28.2,2015,8.24,1.8T,0,6
7,大众POLO 2007款 1.6L Cross POLO AT,3.2,12.81,2009,15.3,1.6L,0,12
8,大众 桑塔纳 2016款 1.4L 手动风尚版,4.66,9.22,2017,1.58,1.4L,1,4
9,大众 尚酷 2015款 1.4TSI 风尚版(进口),13.2,24.18,2016,4.75,1.4T,0,5
10,大众POLO 2016款 1.4L 自动风尚型,6.38,9.54,2017,3.8,1.4L,0,4
11,大众 高尔夫 2014款 1.4TSI 自动旗舰型,8.45,19.85,2014,13.07,1.4T,0,7
12,大众 尚酷 2009款 1.4TSI 风尚版(进口),7.6,32.35,2010,11.8,1.4T,0,11
13,大众 朗境 2016款 230TSI DSG豪华版,10.8,18.66,2017,4.26,1.4T,0,4
14,大众 凌渡 2018款 280TSI DSG舒适版,11.68,20.07,2018,3.0,1.4T,0,3
15,大众 高尔夫 2018款 230TSI 自动豪华型,11.8,18.01,2018,2.92,1.4T,0,3
16,大众POLO 2011款 1.6L 自动致尚版,4.68,12.15,2012,6.71,1.6L,0,9
17,大众 捷达 2017款 1.5L 自动时尚型,5.78,10.38,2017,4.98,1.5L,0,4
18,大众 途安 2015款 1.4T 自动舒适版5座,8.6,18.65,2016,6.65,1.4T,0,5
19,大众 凌渡 2017款 280TSI DSG舒适版,10.88,19.96,2017,4.4,1.4T,0,4
20,大众 高尔夫 2017款 230TSI 自动豪华百万辆纪念版,10.5,18.01,2017,5.3,1.4T,0,4
21,大众 宝来 2014款 1.6L 自动舒适型,6.98,13.93,2015,6.5,1.6L,0,6
22,大众 朗逸 2017款 1.6L 自动风尚版,8.3,12.91,2019,3.2,1.6L,0,2
23,大众 高尔夫·嘉旅 2016款 230TSI 自动进取型,10.58,18.12,2017,4.38,1.4T,0,4
24,大众POLO 2016款 1.6L 自动舒适型,7.19,11.28,2018,1.48,1.6L,0,3
25,大众 速腾 2015款 1.6L 自动舒适型,7.78,16.37,2016,5.22,1.6L,0,5
26,大众 宝来 2014款 1.6L 自动舒适型,5.7,13.93,2014,12.79,1.6L,0,7
27,大众 迈腾 2013款 1.8TSI 豪华型,10.58,25.27,2014,13.6,1.8T,0,7
28,大众 迈腾 2017款 330TSI DSG 领先型,14.78,23.87,2016,7.6,1.8T,0,5
29,大众 高尔夫 2016款 230TSI 自动舒适型,9.88,16.81,2016,3.3,1.4T,0,5
30,大众 帕萨特 2015款 1.8TSI DSG御尊版,11.8,26.03,2016,8.8,1.8T,0,5
31,大众 宝来 2019款 280TSI DSG精英型,9.5,16.17,2018,6.0,1.4T,0,3
32,大众 途锐 2011款 3.0TSI 高配型(进口),22.8,89.55,2012,12.47,3.0T,0,9
